product,window,loess_domains,domain_number,shoreline_raw_m,shoreline_smoothed_m,duneline_raw_m,duneline_smoothed_m,beach_width_raw_m,beach_width_smoothed_m
projected,1996_2010,7,1,39.807,39.807,-0.156,-0.156,39.963,39.963
projected,1996_2010,7,2,35.379,35.379,-55.325,-55.325,90.704,90.703
projected,1996_2010,7,3,34.492,34.492,-35.694,-35.694,70.186,70.186
projected,1996_2010,7,4,26.871,26.871,-12.282,-12.282,39.153,39.153
projected,1996_2010,7,5,11.488,11.488,4.854,4.854,6.634,6.634
projected,1996_2010,7,6,-19.434,-19.434,-6.277,-6.277,-13.157,-13.156
projected,1996_2010,7,7,-18.394,-18.394,-27.05,-27.05,8.656,8.657
projected,1996_2010,7,8,-4.53,-4.53,-12.009,-12.009,7.479,7.479
projected,1996_2010,7,9,1.92,1.92,-25.64,-25.64,27.56,27.559
projected,1996_2010,7,10,10.0,10.0,-33.847,-33.847,43.847,43.847
projected,1996_2010,7,11,11.081,8.348,-56.187,-47.536,67.268,55.884
projected,1996_2010,7,12,8.637,9.933,-69.25,-48.335,77.887,58.268
projected,1996_2010,7,13,7.896,11.395,-60.793,-44.58,68.689,55.975
projected,1996_2010,7,14,14.797,12.985,-30.938,-34.416,45.735,47.401
projected,1996_2010,7,15,17.532,14.953,-16.445,-23.506,33.977,38.459
projected,1996_2010,7,16,14.467,17.281,14.13,-16.212,0.337,33.493
projected,1996_2010,7,17,18.306,19.209,-12.401,-10.739,30.707,29.948
projected,1996_2010,7,18,23.489,19.681,-8.343,-8.34,31.832,28.021
projected,1996_2010,7,19,25.668,16.674,-6.113,-7.85,31.781,24.525
projected,1996_2010,7,20,16.761,10.077,-6.676,-7.715,23.437,17.792
projected,1996_2010,7,21,-0.603,0.16,-5.631,-9.86,5.028,10.019
projected,1996_2010,7,22,-11.798,-11.284,-10.922,-14.232,-0.876,2.948
projected,1996_2010,7,23,-26.084,-20.876,-20.953,-19.149,-5.131,-1.727
projected,1996_2010,7,24,-31.818,-24.564,-33.996,-23.255,2.178,-1.309
projected,1996_2010,7,25,-34.677,-20.909,-24.096,-23.238,-10.581,2.329
projected,1996_2010,7,26,-21.655,-12.138,-27.999,-18.79,6.344,6.652
projected,1996_2010,7,27,0.095,1.603,-7.93,-11.772,8.025,13.375
projected,1996_2010,7,28,26.632,16.694,-3.46,-2.314,30.092,19.008
projected,1996_2010,7,29,40.896,27.547,1.919,8.054,38.977,19.493
projected,1996_2010,7,30,44.423,33.631,27.073,15.04,17.35,18.591
projected,1996_2010,7,31,36.327,32.685,29.252,18.487,7.075,14.198
projected,1996_2010,7,32,20.725,27.099,16.97,17.356,3.755,9.743
projected,1996_2010,7,33,18.949,20.893,12.595,9.985,6.354,10.908
projected,1996_2010,7,34,25.42,14.916,3.395,0.318,22.025,14.598
projected,1996_2010,7,35,8.398,9.634,-47.686,-7.828,56.084,17.462
projected,1996_2010,7,36,0.083,5.015,-27.111,-15.41,27.194,20.425
projected,1996_2010,7,37,-1.689,2.19,-24.88,-20.231,23.191,22.421
projected,1996_2010,7,38,1.803,1.891,-24.258,-19.833,26.061,21.724
projected,1996_2010,7,39,2.867,3.312,-13.873,-18.09,16.74,21.402
projected,1996_2010,7,40,4.678,4.685,-16.89,-15.527,21.568,20.212
projected,1996_2010,7,41,8.554,5.067,-13.511,-11.772,22.065,16.839
projected,1996_2010,7,42,5.497,4.385,-10.077,-7.848,15.574,12.233
projected,1996_2010,7,43,2.661,1.94,3.992,-4.36,-1.331,6.3
projected,1996_2010,7,44,0.854,-2.175,-1.593,-1.504,2.447,-0.67
projected,1996_2010,7,45,-7.053,-6.351,-1.496,-1.399,-5.557,-4.953
projected,1996_2010,7,46,-15.31,-8.94,2.543,-4.248,-17.853,-4.693
projected,1996_2010,7,47,-14.395,-9.634,-7.64,-7.706,-6.755,-1.928
projected,1996_2010,7,48,-5.612,-8.909,-19.041,-11.989,13.429,3.08
projected,1996_2010,7,49,-4.097,-7.868,-11.01,-17.441,6.913,9.573
projected,1996_2010,7,50,-8.279,-8.095,-22.362,-21.507,14.083,13.411
projected,1996_2010,7,51,-9.282,-9.711,-33.58,-23.466,24.298,13.755
projected,1996_2010,7,52,-12.544,-11.112,-25.413,-22.701,12.869,11.589
projected,1996_2010,7,53,-13.814,-11.142,-21.427,-18.688,7.613,7.546
projected,1996_2010,7,54,-11.94,-9.619,-3.808,-13.671,-8.132,4.052
projected,1996_2010,7,55,-6.285,-6.816,-11.462,-9.868,5.177,3.052
projected,1996_2010,7,56,-2.875,-3.291,-5.626,-8.329,2.751,5.039
projected,1996_2010,7,57,-0.06,-0.439,-6.189,-8.237,6.129,7.797
projected,1996_2010,7,58,4.395,-0.1,-10.446,-7.467,14.841,7.367
projected,1996_2010,7,59,3.458,-2.783,-9.89,-4.899,13.348,2.116
projected,1996_2010,7,60,-7.862,-7.463,-1.714,-1.443,-6.148,-6.02
projected,1996_2010,7,61,-18.182,-11.223,11.147,-0.202,-29.329,-11.021
projected,1996_2010,7,62,-21.638,-11.986,8.654,-0.606,-30.292,-11.38
projected,1996_2010,7,63,-11.428,-8.745,-12.856,-2.545,1.428,-6.2
projected,1996_2010,7,64,-2.249,-0.497,-5.465,-5.228,3.216,4.731
projected,1996_2010,7,65,6.688,10.636,-4.1,-5.838,10.788,16.474
projected,1996_2010,7,66,29.986,19.464,-4.947,-4.32,34.933,23.784
projected,1996_2010,7,67,38.795,24.883,-5.928,-1.986,44.723,26.87
projected,1996_2010,7,68,31.682,26.307,2.762,-0.247,28.92,26.554
projected,1996_2010,7,69,21.408,22.111,10.685,0.248,10.723,21.863
projected,1996_2010,7,70,11.79,16.918,-4.22,-0.153,16.01,17.071
projected,1996_2010,7,71,9.624,13.695,-3.799,-0.454,13.423,14.149
projected,1996_2010,7,72,14.256,11.199,-3.2,1.84,17.456,9.36
projected,1996_2010,7,73,14.788,6.784,7.4,5.794,7.388,0.99
projected,1996_2010,7,74,5.457,-0.471,15.883,4.653,-10.426,-5.124
projected,1996_2010,7,75,-13.12,-9.199,14.054,-5.848,-27.174,-3.351
projected,1996_2010,7,76,-27.362,-17.42,-22.8,-21.537,-4.562,4.117
projected,1996_2010,7,77,-24.27,-22.87,-57.317,-37.666,33.047,14.796
projected,1996_2010,7,78,-27.102,-25.585,-58.746,-45.865,31.644,20.28
projected,1996_2010,7,79,-22.681,-26.443,-23.736,-45.916,1.055,19.474
projected,1996_2010,7,80,-35.225,-26.152,-28.796,-43.558,-6.429,17.406
projected,1996_2010,7,81,-26.358,-26.124,-61.284,-40.784,34.926,14.661
projected,1996_2010,7,82,-20.849,-25.388,-47.457,-42.817,26.608,17.429
projected,1996_2010,7,83,-29.763,-22.956,-34.846,-46.996,5.083,24.04
projected,1996_2010,7,84,-22.218,-19.793,-57.191,-49.507,34.973,29.714
projected,1996_2010,7,85,-14.539,-14.367,-53.277,-50.906,38.738,36.539
projected,1996_2010,7,86,-7.611,-6.665,-53.624,-48.764,46.013,42.099
projected,1996_2010,7,87,0.445,1.232,-46.644,-42.255,47.089,43.487
projected,1996_2010,7,88,14.057,7.683,-34.541,-33.563,48.598,41.247
projected,1996_2010,7,89,16.552,13.786,-23.515,-24.518,40.067,38.304
projected,1996_2010,7,90,16.719,19.729,-13.074,-15.193,29.793,34.922
projected,2010_2024,7,1,39.807,39.807,14.678,14.678,25.129,25.129
projected,2010_2024,7,2,35.379,35.379,18.465,18.465,16.914,16.914
projected,2010_2024,7,3,34.492,34.492,22.541,22.541,11.951,11.951
projected,2010_2024,7,4,26.871,26.871,19.414,19.414,7.457,7.457
