domain,casc_p1,casc_p2
1,-4.772227148161149,3.4001611639100577
2,-4.885521366108335,3.053848728194529
3,-4.690427474008557,2.598469177483716
4,-4.339952624946784,2.103920631340188
5,-3.909305025970935,1.6168435166395716
6,-3.715936981954802,1.387685837203851
7,-3.1561861845797203,1.2622051831041163
8,-2.625561804532996,1.2166526333470842
9,-2.2056596672249613,1.2401512708799791
10,-1.870963139431143,1.3215846201061014
11,-1.5916768224590547,1.4147816267153095
12,-1.3064699508520294,1.5052597152664675
13,-1.043842749810494,1.5795596068162865
14,-0.7892117853410562,1.6010176202091304
15,-0.5456987029940918,1.5696576059403
16,-0.3481528876543279,1.4180399996476407
17,-0.2448693928855642,1.2699068186076303
18,-0.1320035919963205,1.125697303273215
19,-0.0065726551679966,0.9893167617425652
20,0.0894532323421597,0.841185836338653
21,0.151984637689518,0.7778069614778239
22,0.201125071934631,0.6253507933425656
23,0.2542482030463496,0.5217424710431314
24,0.3188222365084578,0.4730157334041829
25,0.4372591435885858,0.5197331187440404
26,0.5863177073971728,0.6374694573794438
27,0.7614042919528703,0.7899849179689427
28,0.8998655119470795,0.9149370563946873
29,1.0007671222332235,0.963548322526572
30,1.0522419437592585,1.0913590355272524
31,0.9951788169011824,1.2504419885718618
32,0.8428291669550358,1.321274194806367
33,0.5909371015865338,1.3334156965740052
34,0.2789644911661944,1.2454207665642942
35,-0.0291032583083341,1.1164092620284791
36,-0.3345833233701079,0.9574252004658674
37,-0.5898004290503588,0.8017742940356204
38,-0.7578468281799059,0.688787485540235
39,-0.8567903008588785,0.5764567772273498
40,-0.8910875266226613,0.4675319196248335
41,-0.884953782310334,0.3528204158679015
42,-0.8675914921050514,0.2235824967607567
43,-0.8563180037890968,0.0790697950609981
44,-0.8717813646579875,-0.074827760725833
45,-0.8862454831256165,-0.2152920575427673
46,-0.91937538711387,-0.3637275133964407
47,-0.9721580476423112,-0.5071692873145119
48,-1.026693316926715,-0.622271918530278
49,-1.0822299702991296,-0.6967030191807704
50,-1.1206983336398426,-0.7348397358696843
51,-1.121671228735416,-0.740674615293491
52,-1.0793898006021654,-0.7200301469031035
53,-0.992964282489368,-0.6699230608152925
54,-0.8994040251389617,-0.6093320762428901
55,-0.7574884872695002,-0.5329317232094926
56,-0.6024103639469396,-0.4526098028575211
57,-0.4802966864663447,-0.3122889196575587
58,-0.370315796987518,-0.1594441071882543
59,-0.2581221320438536,0.0005995311793378
60,-0.1845575957408551,0.1718962945208788
61,-0.1035633241110125,0.3642555714351357
62,-0.0416987742382371,0.5436851253949198
63,0.0303871146928461,0.7417488477013232
64,0.1040455028458175,0.92079693693247
65,0.1466577448119,1.0559722133922964
66,0.16766204858755,1.107000238554254
67,0.1262313590354856,1.062372547899765
68,0.0276830782059475,0.9639187858201724
69,-0.0918636821039277,0.8003809406747082
70,-0.2273818217753473,0.622485062380156
71,-0.4214957905787553,0.4101697115541391
72,-0.6806045698358691,0.1848583350389106
73,-0.99156756463596,-0.0727278537039217
74,-1.361032080177787,-0.3633017030389405
75,-1.7815727650585798,-0.6985143717949817
76,-2.266967225700075,-1.0164658161583489
77,-2.768719246967493,-1.2923637271704118
78,-3.267224352976396,-1.506420129357698
79,-3.647924380470585,-1.6108180348673542
80,-3.90884579538705,-1.606883687750672
81,-4.034172397147716,-1.4778775660340504
82,-4.026264923158296,-1.2449268392184432
83,-3.876321499956599,-0.915462797952741
84,-3.6372364879343215,-0.4641186429801352
85,-3.253104017414073,0.0542792836434764
86,-2.7548676264739047,0.5866178880027844
87,-2.205344230608406,1.100678029633475
88,-1.6769502930370106,1.541079731007582
89,-1.212999011024115,1.8433613888226068
90,-0.9166736062802684,1.886171318914072
