hs,wave_period_s,period,status,variance_explained,mean_bias_interior_m_yr,rmse_interior_m_yr
1.0,6.0,1996-2010,scored,0.11580349915336,-0.4912886543168016,1.104168088485667
1.25,6.0,1996-2010,scored,0.072614372555202,-0.5472724053347975,1.1308134776168377
1.5,6.0,1996-2010,scored,-0.0822008437614325,-0.5584034809789873,1.2215597927554902
2.0,6.0,1996-2010,scored,-0.8879355442916828,-0.7593767838586742,1.61344578579623
2.5,6.0,1996-2010,scored,-2.442583472218969,-0.9836291991744888,2.1787281024290297
1.0,7.0,1996-2010,scored,0.1255973400670377,-0.4943228662471728,1.0980358774001784
1.25,7.0,1996-2010,scored,0.0544638386354455,-0.5086650163960152,1.1418258396403942
1.5,7.0,1996-2010,scored,-0.065612825211937,-0.5685055713170786,1.212161580542708
2.0,7.0,1996-2010,scored,-0.7801768829188176,-0.7675235427210937,1.5667235591435598
2.5,7.0,1996-2010,scored,-2.334953089220816,-1.0003684074477668,2.14439931679785
1.0,8.0,1996-2010,scored,0.0565632331195932,-0.4443788169259642,1.1405575248715132
1.25,8.0,1996-2010,scored,0.0859194014980898,-0.4953338692472757,1.1226723872328752
1.5,8.0,1996-2010,scored,0.0129338233957956,-0.5580854647191352,1.1666321236120285
2.0,8.0,1996-2010,scored,-0.5356731971025388,-0.6931921499737765,1.4551581556123023
2.5,8.0,1996-2010,scored,-2.1233146524968967,-0.9940024239909268,2.07524160093922
1.0,10.0,1996-2010,scored,-1.8101400312384284,-1.195984765039457,1.9684517606870424
1.25,10.0,1996-2010,scored,0.1812677480099901,-0.3927639209924054,1.0625068652695446
1.5,10.0,1996-2010,scored,0.0783589395354816,-0.4511561449244227,1.1273057001863276
2.0,10.0,1996-2010,scored,-0.2992418887890449,-0.6233959983838452,1.338461250727201
2.5,10.0,1996-2010,scored,-1.4204522438343714,-0.9226463851931122,1.826875933750524
1.0,12.0,1996-2010,barrier drowned (height/width) in year 4,,,
1.25,12.0,1996-2010,barrier drowned (height/width) in year 8,,,
1.5,12.0,1996-2010,scored,0.1373461928909776,-0.364469535059906,1.0906340871081457
2.0,12.0,1996-2010,scored,-0.1592987513167967,-0.5714846070619882,1.2643242840219888
2.5,12.0,1996-2010,scored,-0.9017567244273011,-0.8136214188901203,1.6193408654034376
