window,model_ends,model_estimator,target,interval_yr,n_interior,bias_m_yr,rmse_m_yr
1996_2010,dune-raw,lrr,coastsat_loess,11.63,88,-0.21074547386909018,1.0761000785921617
1996_2010,dune-raw,lrr,endpoint_raw,11.63,88,0.7806749181856835,2.0239154665953496
1996_2010,dune-raw,lrr,endpoint_loess,11.63,88,0.6836432004639506,1.5791801964226109
1996_2010,dune-raw,lrr,cs_endpoint_raw,11.63,88,-0.4303023545415892,2.029391587177118
1996_2010,dune-raw,lrr,cs_endpoint_loess,11.63,88,-0.4052092035511419,1.4048621884652686
2004_2024,coastsat,endpoint,coastsat_loess,19.1,88,-0.8803745521416592,1.69597146521524
2004_2024,coastsat,endpoint,endpoint_raw,19.1,88,-0.43379058245604357,2.299063182819259
2004_2024,coastsat,endpoint,endpoint_loess,19.1,88,-0.4343254068993545,2.111399218135328
2004_2024,coastsat,endpoint,cs_endpoint_raw,19.1,88,-0.87240421881968,1.9734273245902243
2004_2024,coastsat,endpoint,cs_endpoint_loess,19.1,88,-0.8497646850184734,1.7180403112319422
2004_2024,coastsat,lrr,coastsat_loess,19.1,88,-1.003676596754638,1.7935468644741237
2004_2024,coastsat,lrr,endpoint_raw,19.1,88,-0.5570926270690223,2.3301318346482462
2004_2024,coastsat,lrr,endpoint_loess,19.1,88,-0.5576274515123333,2.12805169469618
2004_2024,coastsat,lrr,cs_endpoint_raw,19.1,88,-0.9957062634326586,2.064552737992683
2004_2024,coastsat,lrr,cs_endpoint_loess,19.1,88,-0.9730667296314519,1.8101019553644366
2004_2024,dune-mean3,endpoint,coastsat_loess,19.1,88,-1.3439944177466656,1.9009553198304352
2004_2024,dune-mean3,endpoint,endpoint_raw,19.1,88,-0.8974104480610502,1.929980585669327
2004_2024,dune-mean3,endpoint,endpoint_loess,19.1,88,-0.8979452725043611,1.708974960695808
2004_2024,dune-mean3,endpoint,cs_endpoint_raw,19.1,88,-1.3360240844246865,2.1328403977619437
2004_2024,dune-mean3,endpoint,cs_endpoint_loess,19.1,88,-1.3133845506234798,1.8922375955332216
2004_2024,dune-mean3,lrr,coastsat_loess,19.1,88,-1.4716109638941426,2.02756517091483
2004_2024,dune-mean3,lrr,endpoint_raw,19.1,88,-1.0250269942085273,2.000854898562368
2004_2024,dune-mean3,lrr,endpoint_loess,19.1,88,-1.0255618186518383,1.76977503051484
2004_2024,dune-mean3,lrr,cs_endpoint_raw,19.1,88,-1.4636406305721634,2.249589508264436
2004_2024,dune-mean3,lrr,cs_endpoint_loess,19.1,88,-1.4410010967709568,2.0134938604334627
2004_2024,dune-raw,endpoint,coastsat_loess,19.1,88,-1.353222295856895,1.9185330783682708
2004_2024,dune-raw,endpoint,endpoint_raw,19.1,88,-0.9066383261712794,1.9273681146551374
2004_2024,dune-raw,endpoint,endpoint_loess,19.1,88,-0.9071731506145901,1.7057007368819328
2004_2024,dune-raw,endpoint,cs_endpoint_raw,19.1,88,-1.3452519625349155,2.1466265583179216
2004_2024,dune-raw,endpoint,cs_endpoint_loess,19.1,88,-1.322612428733709,1.907890716302153
2004_2024,dune-raw,lrr,coastsat_loess,19.1,88,-1.4804170927101163,2.045622039773599
2004_2024,dune-raw,lrr,endpoint_raw,19.1,88,-1.033833123024501,2.0007884767010244
2004_2024,dune-raw,lrr,endpoint_loess,19.1,88,-1.034367947467812,1.769352328380407
2004_2024,dune-raw,lrr,cs_endpoint_raw,19.1,88,-1.4724467593881372,2.2641718752430404
2004_2024,dune-raw,lrr,cs_endpoint_loess,19.1,88,-1.4498072255869305,2.0298522060853617
2010_2024,coastsat,endpoint,coastsat_loess,14.09,88,-1.319803314661547,2.2866133158485593
2010_2024,coastsat,endpoint,endpoint_raw,14.09,88,-0.3359023940465104,2.191544377970168
2010_2024,coastsat,endpoint,endpoint_loess,14.09,88,-0.33929696341918947,1.958957049376915
2010_2024,coastsat,endpoint,cs_endpoint_raw,14.09,88,-0.6893342122283287,2.2257369109714866
2010_2024,coastsat,endpoint,cs_endpoint_loess,14.09,88,-0.6154042036475951,1.8729110497057861
2010_2024,coastsat,lrr,coastsat_loess,14.09,88,-1.3406271829815681,2.310877299812608
2010_2024,coastsat,lrr,endpoint_raw,14.09,88,-0.3567262623665316,2.1738288981623453
2010_2024,coastsat,lrr,endpoint_loess,14.09,88,-0.36012083173921067,1.924490606050351
2010_2024,coastsat,lrr,cs_endpoint_raw,14.09,88,-0.71015808054835,2.2428452559189656
2010_2024,coastsat,lrr,cs_endpoint_loess,14.09,88,-0.6362280719676162,1.8697334222021353
2010_2024,dune-mean3,endpoint,coastsat_loess,14.09,88,-1.7388402344337925,2.352109262317059
2010_2024,dune-mean3,endpoint,endpoint_raw,14.09,88,-0.7549393138187558,1.862479717954015
2010_2024,dune-mean3,endpoint,endpoint_loess,14.09,88,-0.7583338831914349,1.58035366775178
2010_2024,dune-mean3,endpoint,cs_endpoint_raw,14.09,88,-1.108371132000574,2.144803813212005
2010_2024,dune-mean3,endpoint,cs_endpoint_loess,14.09,88,-1.0344411234198405,1.772075775790878
2010_2024,dune-mean3,lrr,coastsat_loess,14.09,88,-1.7662157892263273,2.411119583371952
2010_2024,dune-mean3,lrr,endpoint_raw,14.09,88,-0.7823148686112907,1.8810427329966215
2010_2024,dune-mean3,lrr,endpoint_loess,14.09,88,-0.7857094379839699,1.5850483025726754
2010_2024,dune-mean3,lrr,cs_endpoint_raw,14.09,88,-1.135746686793109,2.2028401070264887
2010_2024,dune-mean3,lrr,cs_endpoint_loess,14.09,88,-1.0618166782123752,1.8181341602500773
2010_2024,dune-raw,endpoint,coastsat_loess,14.09,88,-1.753958285158358,2.364745916420915
2010_2024,dune-raw,endpoint,endpoint_raw,14.09,88,-0.7700573645433217,1.8632950325308377
2010_2024,dune-raw,endpoint,endpoint_loess,14.09,88,-0.7734519339160009,1.581339622794184
2010_2024,dune-raw,endpoint,cs_endpoint_raw,14.09,88,-1.1234891827251396,2.153138757882249
2010_2024,dune-raw,endpoint,cs_endpoint_loess,14.09,88,-1.0495591741444064,1.7820883737985238
2010_2024,dune-raw,lrr,coastsat_loess,14.09,88,-1.7808980479641028,2.4237491378478593
2010_2024,dune-raw,lrr,endpoint_raw,14.09,88,-0.7969971273490664,1.8829834782650348
2010_2024,dune-raw,lrr,endpoint_loess,14.09,88,-0.8003916967217453,1.5874077851664654
2010_2024,dune-raw,lrr,cs_endpoint_raw,14.09,88,-1.1504289455308843,2.211687024394534
2010_2024,dune-raw,lrr,cs_endpoint_loess,14.09,88,-1.0764989369501508,1.828798471786312
