domain_number,coastsat_loess_m_yr,endpoint_raw_m_yr,endpoint_loess_m_yr,model_endpoint_coastsat_m_yr,model_lrr_coastsat_m_yr,resid_lrr_coastsat_vs_coastsat_loess_m_yr,resid_endpoint_coastsat_vs_endpoint_raw_m_yr,resid_endpoint_coastsat_vs_endpoint_loess_m_yr,model_endpoint_dunemean3_m_yr,model_lrr_dunemean3_m_yr,resid_lrr_dunemean3_vs_coastsat_loess_m_yr,resid_endpoint_dunemean3_vs_endpoint_raw_m_yr,resid_endpoint_dunemean3_vs_endpoint_loess_m_yr,model_endpoint_duneraw_m_yr,model_lrr_duneraw_m_yr,resid_lrr_duneraw_vs_coastsat_loess_m_yr,resid_endpoint_duneraw_vs_endpoint_raw_m_yr,resid_endpoint_duneraw_vs_endpoint_loess_m_yr
1,-4.162511111111112,4.048,4.048,-5.162927108288659,-4.155745904438994,0.00676520667211733,-9.210927108288658,-9.210927108288658,0.3220001198666068,0.3079276349751062,4.470438746086218,-3.725999880133393,-3.725999880133393,4.0474489311674,2.9478272246935915,7.110338335804704,-0.0005510688325998103,-0.0005510688325998103
2,-4.797818181818182,-1.293,-1.29342,-4.816878680305672,-4.24374163674974,0.5540765450684422,-3.523878680305672,-3.523458680305672,-0.1352597056938066,0.0036375650395937,4.801455746857776,1.1577402943061934,1.1581602943061935,2.983531539411706,2.486785126539046,7.284603308357228,4.276531539411706,4.276951539411706
3,-4.76896,-1.787,-1.7869800000000002,-4.097338173261596,-4.062563267719232,0.7063967322807683,-2.310338173261596,-2.3103581732615956,-0.1380731344881496,-0.1870184631440113,4.581941536855989,1.6489268655118503,1.6489068655118506,2.4563015284292304,2.0609902356241045,6.829950235624104,4.24330152842923,4.243281528429231
4,-3.9797000000000002,-0.98,-0.9802199999999999,-3.4693434921867263,-3.78694353109942,0.1927564689005803,-2.4893434921867263,-2.4891234921867262,-0.1325224004624033,-0.346163139430013,3.633536860569987,0.8474775995375967,0.8476975995375966,2.01179434587084,1.638620549881703,5.6183205498817035,2.99179434587084,2.9920143458708397
5,-2.3715230769230766,-0.903,-0.90266,-3.316637387836818,-3.534621031722997,-1.1630979547999205,-2.413637387836818,-2.413977387836818,-0.535544429428046,-0.5626452939175166,1.80887778300556,0.367455570571954,0.367115570571954,1.2228847043936184,1.161216316912124,3.5327393938352003,2.125884704393618,2.1255447043936186
6,-1.3853333333333333,0.825,0.82524,-3.450625982929796,-3.292149168709351,-1.9068158353760178,-4.275625982929796,-4.275865982929796,-1.1504907078157884,-0.7861703939638546,0.5991629393694787,-1.9754907078157884,-1.9757307078157884,0.2913879991856447,0.6854067770464793,2.0707401103798126,-0.5336120008143552,-0.5338520008143552
7,-2.188,0.537,0.53668,-2.935525002016948,-2.8929571823760214,-0.7049571823760212,-3.472525002016948,-3.472205002016948,-1.0490226994378644,-0.8175018182331942,1.370498181766806,-1.5860226994378643,-1.5857026994378645,0.1229181124621391,0.413705580148748,2.601705580148748,-0.4140818875378609,-0.4137618875378609
8,-1.7017375000000001,0.662,0.6618,-2.3029925727835687,-2.446539701570279,-0.7448022015702787,-2.9649925727835686,-2.9647925727835687,-0.7712403050822104,-0.7553560329861545,0.9463814670138456,-1.4332403050822105,-1.4330403050822105,0.1769937309210036,0.2600408630246106,1.9617783630246106,-0.48500626907899647,-0.4848062690789965
9,-2.134688888888889,0.269,0.26864,-1.859299828370058,-2.045068155819213,0.08962073306967566,-2.128299828370058,-2.127939828370058,-0.6243513625716333,-0.6860008326191487,1.4486880562697402,-0.8933513625716333,-0.8929913625716333,0.1383133744017868,0.1404942329594967,2.275183121848386,-0.13068662559821323,-0.1303266255982132
10,-2.73665,-0.497,-0.49738,-1.5476938617897755,-1.6972890520418449,1.0393609479581551,-1.0506938617897754,-1.0503138617897756,-0.5599777485486811,-0.6174430648473633,2.119206935152637,-0.0629777485486811,-0.06259774854868111,0.0500534269985109,0.0465352860055683,2.783185286005568,0.5470534269985109,0.5474334269985108
11,-2.1023573878776496,-2.244,-0.8391303836413178,-1.376555539484798,-1.4103697628351777,0.6919876250424719,0.8674444605152023,-0.5374251558434802,-0.592572998891228,-0.5625492192457573,1.5398081686318923,1.6514270011087722,0.2465573847500897,-0.106733655437165,-0.0349823813351355,2.0673750065425143,2.137266344562835,0.7323967282041528
12,-1.838612894963628,-1.743,-0.9301078456059294,-1.0903886021974358,-1.128647124042903,0.709965770920725,0.6526113978025643,-0.16028075659150642,-0.4716747741845211,-0.4714095161872754,1.3672033787763527,1.271325225815479,0.4584330714214083,-0.0886299725140816,-0.0573527034567442,1.7812601915068837,1.6543700274859185,0.8414778730918478
13,-1.4259058145864776,-1.679,-0.8688258962755441,-0.8823193863715459,-0.8872392726862274,0.5386665419002502,0.7966806136284541,-0.01349349009600187,-0.3985046412128213,-0.3832342371120229,1.0426715774744546,1.2804953587871788,0.47032125506272277,-0.0980147967191442,-0.0616966160658554,1.3642091985206222,1.5809852032808558,0.7708110995563999
14,-0.9014269333273761,-0.588,-0.6969082212275038,-0.6508613649179097,-0.6686957676514398,0.23273116567593632,-0.06286136491790972,0.04604685630959415,-0.2754747655087158,-0.2856130113932908,0.6158139219340852,0.31252523449128417,0.42143345571878804,-0.0410415864221249,-0.038269835670578,0.8631570976567982,0.5469584135778751,0.655866634805379
15,-0.4420058431570572,0.464,-0.4563269748668276,-0.3611086750960567,-0.4706022665973418,-0.02859642344028457,-0.8251086750960568,0.0952182997707709,-0.0721177811732559,-0.1819094509025531,0.2600963922545041,-0.5361177811732559,0.3842091936935717,0.1098035466320652,0.0070581421706493,0.4490639853277065,-0.3541964533679348,0.5661305214988928
16,-0.11132013632365531,0.976,-0.2279130774382291,-0.1580442761538506,-0.3249789165504999,-0.21365878022684456,-1.1340442761538505,0.0698688012843785,0.0606106801930764,-0.1100639445670537,0.0012561917566016045,-0.9153893198069236,0.2885237576313055,0.2006473043923506,0.0327270076586277,0.14404714398228302,-0.7753526956076494,0.4285603818305797
17,0.12529704481718068,-0.298,-0.06520877961316793,-0.3146053026468507,-0.2804540280845903,-0.405751072901771,-0.016605302646850728,-0.2493965230336828,-0.1493964032206349,-0.1218028189830266,-0.24709986380020726,0.14860359677936508,-0.08418762360746698,-0.0424400502691241,-0.0149843719454331,-0.14028141676261377,0.25555994973087587,0.02276872934404383
18,0.248049488804461,-0.275,-0.002516009660127514,-0.2906696177104095,-0.2338463414588479,-0.4818958302633089,-0.015669617710409478,-0.288153608050282,-0.1671005156855244,-0.1178219135942694,-0.3658714023987304,0.10789948431447563,-0.16458450602539687,-0.0860416328727296,-0.0386891443650526,-0.2867386331695136,0.18895836712727043,-0.0835256232126021
19,0.21887528187396454,-0.1,-0.010279022540858856,-0.1290622370130222,-0.1833670502937387,-0.4022423321677032,-0.029062237013022185,-0.11878321447216333,-0.0375477360986224,-0.0992468430918722,-0.31812212496583675,0.062452263901377605,-0.027268713557763544,0.023424972169596,-0.0411565917634626,-0.26003187363742714,0.123424972169596,0.033703994710454856
20,0.08640279004419678,0.096,-0.015915161301061975,-0.0647013264324414,-0.1723404710216332,-0.25874326106582995,-0.1607013264324414,-0.04878616513137943,0.0036507233811789,-0.1116742031620784,-0.1980769932062752,-0.0923492766188211,0.019565884682240874,0.0491523544532356,-0.0694213063177866,-0.15582409636198338,-0.046847645546764405,0.06506751575429758
