period,scenario,variance_explained,bias,rmse
1996-2010,natural,0.0565632331195932,-0.4443788169259642,1.1405575248715132
1996-2010,full_management,0.1693219403300809,-0.0443707751845131,1.0702301102566816
2010-2024,natural,-10.080590062567616,-4.467950944137905,4.873935503748747
2010-2024,full_management,-2.124418414377237,-1.869698880696436,2.5881111768478826
