domain,dsas_lrr_1978_1997,cs_lrr_1978_1997,dsas_std_1978_1997,cs_std_1978_1997,difference_1978_1997,dsas_lrr_smooth_1978_1997,cs_lrr_smooth_1978_1997,diff_smooth_1978_1997,dsas_lrr_1997_2019,cs_lrr_1997_2019,dsas_std_1997_2019,cs_std_1997_2019,difference_1997_2019,dsas_lrr_smooth_1997_2019,cs_lrr_smooth_1997_2019,diff_smooth_1997_2019
1,-4.99,-0.586,0.813879597975032,2.947,4.404,-4.16204333950882,-6.213279130748898,-2.051235791240078,,-2.507,,2.417,,,2.202097661238265,
2,-2.834,-4.353,0.134647688431699,0.208,-1.5189999999999997,-3.590513309721228,-5.779161345984743,-2.1886480362635155,,1.723,,0.203,,,1.724389596590607,
3,-3.68,-5.625,0.451940261539067,0.402,-1.9449999999999998,-3.041342061530404,-5.32884910554606,-2.2875070440156557,,2.099,,0.16,,,1.266925957447565,
4,-2.972,-6.92,0.700692514588247,0.423,-3.948,-2.519764530559462,-4.878174150254914,-2.358409619695452,,1.152,,0.526,,,0.8367398060811186,
5,-1.428,-7.009,0.913876359252169,0.567,-5.581,-2.028157674777183,-4.447060393259639,-2.418902718482456,,0.01,,0.203,,,0.4345979579403295,
6,-0.033333333333333,-2.728,1.048872410416698,1.427,-2.694666666666667,-1.55862176315997,-4.043063263789509,-2.4844415006295395,,-1.68,,0.947,,,0.049562556363483744,
7,0.56,-3.029,0.0,0.136,-3.589,-1.102111304546674,-3.6222242108640783,-2.5201129063174044,,-1.818,,0.314,,,-0.35894761005395776,
8,-0.082,-2.352,0.607017297941335,0.181,-2.27,-0.853289659354129,-3.1147224390386006,-2.2614327796844718,-2.06,-1.053,0.0,0.448,1.0070000000000001,-2.1018199541966385,-0.5999930167704476,1.5018269374261908
9,-0.922,-2.62,0.203887223729198,0.163,-1.698,-0.6915802071816525,-2.62212321099969,-1.9305430038180376,-1.6,-0.832,0.0,0.14,0.7680000000000001,-1.8128858091688624,-0.734344850955531,1.0785409582133314
10,-1.518,-2.865,0.390858030491891,0.165,-1.3470000000000002,-0.6506923807755488,-2.2062497679201547,-1.555557387144606,-1.515,-0.37,0.403050865276332,0.101,1.145,-1.516746185697125,-0.7091374476661767,0.8076087380309482
11,-0.966,-2.205,0.213025820031282,0.246,-1.239,-0.6552586846545967,-1.820294199916042,-1.1650355152614453,-1.4375,-0.269,0.359756862338997,0.113,1.1684999999999999,-1.2137968378871604,-0.5676656867445119,0.6461311511426485
12,-0.802,-1.677,0.346655448536439,0.409,-0.875,-0.6147405970331733,-1.4257021870811561,-0.8109615900479828,-1.074,-0.593,0.174728360605827,0.156,0.4810000000000001,-0.9058521444834862,-0.416984568265698,0.48886757621778815
13,-0.526,-1.137,0.241516045015647,0.131,-0.611,-0.5023091283848632,-1.0684927285433663,-0.5661836001585031,-0.5525,-0.677,0.185,0.065,-0.12450000000000006,-0.59426111398148,-0.28724097565898865,0.3070201383224913
14,0.15,0.27,0.275317997958724,0.529,0.12000000000000002,-0.31117653141921636,-0.797037579964864,-0.48586104854564766,-0.6225,-0.215,0.68538918384618,0.158,0.4075000000000001,-0.26163084007032955,-0.15984647555885667,0.10178436451147288
15,-0.092,0.273,0.142372750201715,0.232,0.365,-0.054771529539012154,-0.6427643899225435,-0.5879928603835314,0.14,0.291,0.313155978174881,0.115,0.15099999999999997,0.0007148449799172542,-0.013227135238700205,-0.013941980218617459
16,-0.24,0.325,0.168077363139716,0.297,0.565,0.25573752498283575,-0.5779930729630514,-0.8337305979458871,0.896,-0.076,0.137586336530922,0.146,-0.972,0.08582139634365647,0.12732937691516805,0.041507980571511574
17,0.142,-0.558,0.170352575560219,0.277,-0.7000000000000001,0.6065801459582137,-0.5283224595033903,-1.134902605461604,1.268,0.217,0.215800834104041,0.257,-1.051,0.010040431068478586,0.17397229986221305,0.16393186879373445
18,0.778,-1.317,0.287088836425243,0.15,-2.0949999999999998,0.9714673934840944,-0.48952586614634036,-1.4609932596304347,0.554,0.736,0.509539007338987,0.065,0.18199999999999994,-0.19721874700689357,0.0959479681746854,0.293166715181579
19,1.212,-2.014,0.368062494693496,0.127,-3.226,1.3260391005518484,-0.49480602993694645,-1.8208451304887947,0.728,1.043,0.450632888280472,0.149,0.31499999999999995,-0.5487932571467128,-0.0856022617768685,0.4631909953698443
20,2.518,-0.935,0.256261585103972,1.028,-3.453,1.6315737819284168,-0.5172209170787399,-2.1487946990071567,-1.394,0.39,0.691794767253988,0.371,1.7839999999999998,-1.123989327177283,-0.37060357502501484,0.7533857521522681
21,2.522,1.023,0.277073997336452,0.109,-1.4989999999999999,1.847872539678373,-0.49042978812340365,-2.3383023278017765,-1.396,-0.831,0.384096342080994,0.348,0.565,-1.9233621188368433,-0.8141750422961146,1.1091870765407288
22,2.396,0.472,0.220295256417382,0.321,-1.924,1.9147956359598424,-0.3968789103834911,-2.3116745463433332,-3.342,-1.516,0.650822556462205,0.367,1.826,-2.169081492631896,-1.1853977499238693,0.9836837427080267
23,2.604,-0.583,0.110136279218067,0.256,-3.1870000000000003,1.795063519211782,-0.3246386872151528,-2.119702206426935,-4.188,-3.083,1.00108441202528,0.453,1.1049999999999995,-1.6967152274501776,-0.9798944337691341,0.7168207936810435
24,1.63,-0.717,0.207243817760627,0.173,-2.347,1.543486743382792,-0.38160206731350577,-1.9250888106962978,-4.814,-4.057,0.687553634271538,0.105,0.7569999999999997,-1.430384580484347,-0.7386014726395866,0.6917831078447603
25,1.59,0.005,0.218288799529431,0.275,-1.5850000000000002,1.3023407557366111,-0.5237180570858206,-1.8260588128224318,-4.7725,-3.872,0.172312700247738,0.129,0.9005000000000001,-1.2129551768359612,-0.49527753732801305,0.7176776395079482
26,-0.276,-0.279,0.307131893492031,0.476,-0.0030000000000000027,1.1744891581986103,-0.5321969321498448,-1.706686090348455,-3.142,-2.631,1.008002976186082,0.648,0.5110000000000001,-0.951047951340286,-0.21669797455725484,0.7343499767830312
27,-0.378,-1.561,0.136821051011897,0.421,-1.1829999999999998,1.165986609043324,-0.29273700953550996,-1.458723618578834,-0.306,-0.332,0.536358089339575,0.703,-0.026000000000000023,-0.4673648752059993,0.12422982377025257,0.5915946989762518
28,0.332,-1.894,0.191494125236259,0.081,-2.226,1.303629798703081,0.12246537367484081,-1.18116442502824,0.414,1.428,0.854973683805531,0.246,1.014,0.047729299482492285,0.7162181593721845,0.6684888598896922
29,1.128,-0.985,0.68918067297335,1.201,-2.113,1.5807080245750031,0.5859084724962264,-0.9947995520787768,1.948,2.071,0.311560588008175,0.12,0.12300000000000022,0.20156275603739582,1.0559111321562993,0.8543483761189035
30,2.322,1.957,0.348668897379735,0.428,-0.365,1.8564062765884597,1.0277703819283244,-0.8286358946601353,2.688,2.743,0.281549285205983,0.357,0.054999999999999716,0.2511811181577034,1.1997569870833098,0.9485758689256064
31,3.452,3.117,0.292181450472134,0.274,-0.33499999999999996,2.067821862398879,1.4071457590913015,-0.6606761033075774,2.278,2.666,0.760243382082343,0.522,0.3879999999999999,0.2814954736690443,1.2347224177607254,0.9532269440916812
32,4.394,3.229,0.291941775016869,0.281,-1.165,2.1729174487531426,1.649222835178354,-0.5236946135747886,0.364,0.743,0.392275413453354,0.324,0.379,0.2847810750651401,1.1444709982102172,0.8596899231450772
33,3.516,2.674,0.536591091987185,0.51,-0.8420000000000001,2.1683831533503777,1.634987576640325,-0.5333955767100527,-0.414,0.849,0.234691286587295,0.133,1.263,0.17743127988028823,0.8564924112410296,0.6790611313607413
34,1.822,2.704,0.490683197185312,0.693,0.8820000000000001,2.0477746589218784,1.336975519634452,-0.7107991392874264,-0.138,1.16,0.527133759116223,0.231,1.298,-0.04959146304437646,0.4572549619495712,0.5068464249939477
35,1.368,0.38,0.402206414667892,0.851,-0.9880000000000001,1.7572117137801364,0.8154150513321781,-0.9417966624479583,-0.025,-0.324,0.487903679018718,0.499,-0.299,-0.22767883015909182,0.12082526880782034,0.34850409896691215
36,1.08,-0.998,0.288183969019791,0.225,-2.0780000000000003,1.3842718964751393,0.2099574455759667,-1.1743144508991725,-0.49,-1.01,0.226274169979695,0.228,-0.52,-0.3450011137138947,-0.09319366094927717,0.2518074527646175
37,0.6025,-0.536,0.506120868304532,0.091,-1.1385,1.1242904795174964,-0.35363719567680285,-1.4779276751942994,-0.54,-0.943,0.200499376557634,0.323,-0.4029999999999999,-0.4496265060362643,-0.2101283004420412,0.2394982055942231
38,1.098,-1.461,0.551606743976177,0.673,-2.559,1.0129544780735908,-0.8388566203749512,-1.851811098448542,-0.865,-0.478,0.198410349192442,0.137,0.387,-0.5669323321810669,-0.26582583438252727,0.3011064977985396
39,-0.132,-1.788,0.227749862788104,0.327,-1.6560000000000001,0.9657733670706141,-1.2348405548590107,-2.200613921929625,-0.056,-0.379,0.617681147518685,0.071,-0.323,-0.6714486936536272,-0.24829959206169636,0.42314910159193087
40,0.912,-0.911,0.599266217969944,0.142,-1.823,0.9020653887074853,-1.520889964211108,-2.4229553529185934,-0.644,0.185,0.94049455075508,0.226,0.829,-0.7352937597780174,-0.16564576382109136,0.5696479959569261
41,1.982,-1.08,0.405672281527836,0.184,-3.0620000000000003,0.8207661824801114,-1.685880933466755,-2.5066471159468664,-1.104,0.411,0.475899148980117,0.066,1.5150000000000001,-0.782337588822545,-0.1025693890012392,0.6797681998213058
42,1.4,-2.306,0.116619037896906,0.291,-3.706,0.7635555424735406,-1.704540305322235,-2.4680958477957757,-1.762,0.156,0.254106276978748,0.087,1.918,-0.8761344041217776,-0.12756536335151802,0.7485690407702595
43,0.754,-2.8,0.438953300477397,0.105,-3.554,0.7286487845554355,-1.5793649322648675,-2.308013716820303,-0.132,-0.088,1.14060071891964,0.108,0.04400000000000001,-1.0245295518044861,-0.23950142385353507,0.785028127950951
44,-0.288,-2.409,0.042071367935925,0.435,-2.121,0.6687992630690403,-1.4470891404772952,-2.1158884035463355,-0.81,0.063,0.497945780180935,0.156,0.873,-1.1614177593056707,-0.3789357827363886,0.7824819765692821
45,-0.04,-1.604,0.239687296284138,0.216,-1.564,0.5282909810205522,-1.4131329697443462,-1.9414239507648983,-0.83,-0.797,0.447716428110473,0.424,0.03299999999999992,-1.2315885657544112,-0.4961702919979239,0.7354182737564874
46,0.78,0.927,0.120208152801713,1.091,0.14700000000000002,0.3385956805927806,-1.3980043286467891,-1.7366000092395697,-2.32,-1.396,0.21694853460364,0.039,0.9239999999999999,-1.2577200697489554,-0.5758105784386927,0.6819094913102628
47,0.836,1.145,0.149264865256362,0.607,0.30900000000000005,0.19257997203203,-1.3042219751170216,-1.4968019471490517,-2.096,-1.392,0.273184919056671,0.089,0.7040000000000002,-1.3029464997346634,-0.6284196358584507,0.6745268638762126
48,0.292,-1.304,0.236791047128053,0.821,-1.596,0.13370112174976323,-1.1771820572493066,-1.3108831789990698,-1.338,-0.52,0.421271883704574,0.23,0.8180000000000001,-1.3819345837110255,-0.6650303376421607,0.7169042460688648
49,-0.172,-3.025,0.25083859352181,0.081,-2.8529999999999998,0.10689911800373156,-1.1351012328159549,-1.2420003508196864,-1.13,-0.191,0.321947200640105,0.116,0.9389999999999998,-1.4340093629675361,-0.6725204492538801,0.761488913713656
50,-0.93,-1.819,0.242074368738204,0.576,-0.8889999999999999,0.029939015735336805,-1.239618749592926,-1.2695577653282628,-0.942,-0.301,0.251634655800826,0.125,0.641,-1.4235712909919809,-0.6379452359351561,0.7856260550568248
51,-0.266,-0.91,0.462633764440081,0.22,-0.644,-0.10173617740153187,-1.4071917111267087,-1.3054555337251768,-1.346,-0.471,0.254617359973746,0.049,0.8750000000000001,-1.3553421179214504,-0.5854482775652696,0.7698938403561808
52,0.912,-0.912,0.257914714586043,0.379,-1.824,-0.21193012313199922,-1.505384182884126,-1.2934540597521267,-1.842,-0.777,0.311721029127006,0.168,1.065,-1.2732455564968284,-0.5457107265335837,0.7275348299632447
53,0.04,-1.327,0.761675784044629,0.187,-1.367,-0.20544728454506594,-1.5070934551355282,-1.3016461705904623,-1.484,-0.96,0.212673458616725,0.083,0.524,-1.2089297811186592,-0.5232097408659402,0.685720040252719
54,-0.686,-1.584,0.193339080374352,0.114,-0.898,-0.058135748364670385,-1.4603372191574981,-1.4022014707928279,-1.454,-0.768,0.192041662146525,0.216,0.6859999999999999,-1.1854729095545629,-0.49603314701564055,0.6894397625389224
55,-0.784,-1.764,0.261400076511083,0.125,-0.98,0.1717684061602174,-1.387045840698435,-1.5588142468586523,-0.662,-0.242,0.254106276978748,0.07,0.42000000000000004,-1.1790250159256623,-0.4593457560361826,0.7196792598894797
