domain,dsas_lrr_1978_1997,cs_lrr_1978_1997,dsas_std_1978_1997,cs_std_1978_1997,difference_1978_1997,dsas_lrr_smooth_1978_1997,cs_lrr_smooth_1978_1997,diff_smooth_1978_1997,dsas_lrr_1997_2019,cs_lrr_1997_2019,dsas_std_1997_2019,cs_std_1997_2019,difference_1997_2019,dsas_lrr_smooth_1997_2019,cs_lrr_smooth_1997_2019,diff_smooth_1997_2019
56,-0.704,-2.373,0.376470450367622,0.222,-1.6690000000000003,0.44565671718146627,-1.2321346013367338,-1.6777913185182,0.448,-0.196,0.41775590959315,0.067,-0.644,-1.1719357901220036,-0.44177096142938893,0.7301648286926146
57,0.618,-1.301,0.826450240486383,0.328,-1.919,0.7987904601400605,-0.9418118902006284,-1.7406023503406889,-0.886,-0.218,0.588667987918487,0.065,0.668,-1.1871127581550116,-0.4774513135626105,0.7096614445924011
58,2.242,-0.871,0.164225454787009,0.151,-3.113,1.2934417741333109,-0.5343299116247765,-1.8277716857580875,-1.698,-0.079,0.361966849310818,0.108,1.619,-1.272340084561455,-0.5907729755593681,0.6815671090020868
59,1.558,-0.368,0.308820336117944,0.341,-1.9260000000000002,1.920731019781573,-0.11788035710971045,-2.0386113768912835,-1.16,-0.335,0.152151240547029,0.225,0.825,-1.4230583144923343,-0.7703623612901139,0.6526959532022204
60,2.492,1.045,0.389255700022492,0.27,-1.447,2.5897391603514004,0.2044056913834835,-2.385333468967917,-1.562,-1.058,0.442741459544958,0.261,0.504,-1.5314789286211141,-0.9531816190632155,0.5782973095578986
61,2.906,1.739,0.435924305355872,0.165,-1.167,3.177993497746434,0.3843524443953972,-2.793641053351037,-1.96,-1.612,0.722357252334328,0.101,0.34799999999999986,-1.5262077852227063,-1.0680197165067873,0.458188068715919
62,4.12,1.843,0.297657521322744,0.318,-2.277,3.5780285633617046,0.4058733288556692,-3.1721552345060355,-3.03,-1.908,0.378087291508191,0.185,1.1219999999999999,-1.4257950167072848,-1.0804309998591644,0.34536401684812046
63,4.852,0.628,0.224098192763797,0.332,-4.224,3.7602819306481203,0.306476792732111,-3.4538051379160093,-2.14,-1.847,0.294618397253125,0.224,0.29300000000000015,-1.2615399338717879,-0.9609715789127162,0.30056835495907164
64,5.034000000000001,-0.337,0.104067285925982,0.311,-5.371,3.7278787429169267,0.13738085244809534,-3.590497890468831,-0.644,-1.177,0.362325820222628,0.138,-0.533,-1.030326460539423,-0.6475269400619891,0.3827995204774338
65,5.017999999999999,-0.714,0.425816862042827,0.151,-5.731999999999999,3.5788408911551515,-0.04732819400088416,-3.6261690851560355,-0.918,-0.603,0.255773337156163,0.358,0.31500000000000006,-0.8265092845808734,-0.25791170626008564,0.5685975783207877
66,3.524,-1.313,0.761597006296637,0.41,-4.837,3.343901325792444,-0.19441654756011742,-3.5383178733525615,0.258,0.993,0.700335633821384,0.608,0.735,-0.691520182897379,0.05949333081062207,0.7510135137080011
67,1.034,-0.938,0.61353891482122,0.458,-1.972,2.959033096110603,-0.3526946653846442,-3.311727761495247,1.896,2.412,0.724555035866842,0.201,0.516,-0.5562735264511394,0.3265372984988951,0.8828108249500345
68,1.522,0.374,0.576732173543318,0.378,-1.1480000000000001,2.411634228296364,-0.5708355544885213,-2.982469782784885,2.126,2.349,0.477943511306514,0.241,0.2230000000000003,-0.42098728001695274,0.5709816954913111,0.9919689755082638
69,2.486,1.128,0.574743421014978,0.205,-1.3580000000000003,1.7870487486704927,-0.8316505974315516,-2.6186993461020442,-0.396,1.212,0.945716659470478,0.36,1.608,-0.32189947439312283,0.7772740279936567,1.0991735023867797
70,2.482,0.117,0.3595413745315,0.479,-2.365,1.227059034286035,-1.080086428817285,-2.30714546310332,-0.724,0.385,0.66590539868663,0.152,1.109,-0.28656853684678896,0.8604882194795824,1.1470567563263714
71,0.81,-1.823,0.725672102261069,0.535,-2.633,0.7976599341721687,-1.3821600455677578,-2.1798199797399267,-0.544,0.202,0.78401530597304,0.08,0.746,-0.3398953301008928,0.7262633364608864,1.0661586665617793
72,-1.872,-3.33,0.997256235879225,0.621,-1.458,0.4724115662157999,-1.7760198684623991,-2.248431434678199,0.73,0.705,0.20820662813657,0.258,-0.025000000000000022,-0.5072437470375933,0.431456879188485,0.9387006262260784
73,-1.326,-3.76,0.636930137456221,0.77,-2.4339999999999997,0.1668768985996388,-2.0546635544777945,-2.2215404530774334,0.096,1.576,0.865060691512451,0.317,1.48,-0.7940475133863372,0.11741750834096612,0.9114650217273033
74,-0.3625,-1.192,0.148632656797444,0.831,-0.8294999999999999,-0.17187445930332554,-2.409785679287634,-2.2379112199843085,-0.19,0.767,0.601456565347823,0.497,0.9570000000000001,-1.1475121990722086,-0.1465606826125503,1.0009515164596583
75,-0.722,2.956,0.261476576388785,1.285,3.678,-0.46906957799302784,-2.9577391075411095,-2.4886695295480816,-1.572,-1.16,0.317993710629629,0.53,0.41200000000000014,-1.5625072848550046,-0.4093643337891824,1.1531429510658222
76,0.742,5.839,0.690992040475142,0.708,5.097,-0.6459117625710898,-3.373819607830702,-2.727907845259612,-2.304,-2.003,0.810141962868237,0.272,0.3009999999999997,-2.0565721899835996,-0.7516035108080381,1.3049686791755615
77,-0.078,-0.236,0.787794389418965,2.483,-0.15799999999999997,-0.7365079060425991,-3.5873331703370552,-2.850825264294456,-3.264,-0.878,0.345875700216133,0.317,2.3859999999999997,-2.541214487928159,-1.1459990477563122,1.3952154401718466
78,-1.192,-6.001,0.437629980691451,1.167,-4.809,-0.8460716806687947,-3.8690485243350667,-3.022976843666272,-3.6375,-0.967,0.082209083034257,0.47,2.6705,-2.888550392055227,-1.4616720225073745,1.4268783695478524
79,-2.424,-6.351,0.737177047933534,0.506,-3.927,-1.0131382294356783,-4.378922481766071,-3.3657842523303927,-3.44,-1.879,0.454092501589709,0.435,1.561,-3.0802290107108647,-1.6530194583281048,1.42720955238276
80,-1.106,-5.355,0.868780754851303,1.048,-4.2490000000000006,-1.1990085349409645,-4.763272600051219,-3.5642640651102546,-3.982,-3.304,0.33640749099864,0.455,0.6780000000000004,-3.158479970694233,-1.7497913703681889,1.408688600326044
81,-0.658,-2.659,0.197914122790669,0.621,-2.001,-1.3426500474490148,-4.795471577723851,-3.452821530274836,-3.214,-2.341,0.555004504486225,0.821,0.8729999999999998,-3.1404324464949855,-1.7979793389152923,1.3424531075796933
82,-1.874,-7.071,0.677148432767883,1.471,-5.196999999999999,-1.3636365653512994,-4.552258651097196,-3.1886220857458962,-2.156,-1.32,0.210546906887753,0.261,0.8360000000000001,-3.0278739818083213,-1.7896303783600096,1.2382436034483117
83,-2.106,-5.74,0.841445185380486,0.98,-3.6340000000000003,-1.265956106412952,-4.111794743837157,-2.8458386374242046,-2.798,-2.26,0.458552069017249,0.133,0.5380000000000003,-2.8331725080547563,-1.6627632441180378,1.1704092639367185
84,-0.936,-3.553,0.212673458616725,0.259,-2.617,-1.099626214369513,-3.6390900384658256,-2.5394638240963125,-3.094,-1.69,0.140996453856117,0.403,1.404,-2.569415839275455,-1.3892594676003294,1.1801563716751258
85,-1.624,-2.861,0.355429317867843,0.323,-1.237,-0.8825110999244701,-3.1076844479342562,-2.225173348009786,-2.69,-1.321,0.250199920063936,0.15,1.369,-2.2470979476420965,-1.0010289445661902,1.2460690030759063
86,-0.486,-1.605,0.538961965262856,0.347,-1.119,-0.6922091539382316,-2.5406061921364413,-1.8483970381982098,-2.364,-0.673,0.127788888405839,0.149,1.6909999999999998,-1.8153817386379014,-0.6332077386876075,1.1821739999502938
87,-0.284,-2.112,0.240062491864098,0.328,-1.828,-0.49550897375563885,-1.9541273150131557,-1.4586183412575169,-1.63,-0.187,0.220151463012778,0.115,1.4429999999999998,-1.3783314149525159,-0.2650375916757184,1.1132938232767975
88,0.63,-1.546,0.394144643500327,0.196,-2.176,-0.28870633461515993,-1.362458191947961,-1.073751857332801,-0.968,0.428,0.319562200518146,0.213,1.396,-0.9270814741599908,0.11000404004034851,1.0370855142003392
89,-0.26,-1.237,0.206760731281353,0.196,-0.9770000000000001,-0.07516152308174595,-0.7724099400502337,-0.6972484169684877,-0.072,0.946,0.113004424692133,0.079,1.018,-0.45735670281174373,0.4920869595799016,0.9494436623916453
90,-0.264,0.097,0.130307329034095,0.774,0.361,0.1386410151990154,-0.18575849173960507,-0.32439950693862046,0.258,0.382,0.226649509154553,0.899,0.124,0.03154980704291649,0.8780761367876739,0.8465263297447574
