domain,model_total_change_m,model_rate_m_per_yr
0,31.340977631492933,1.6495251384996281
1,30.966385693402117,1.6298097733369534
2,30.651409810309815,1.6132320952794639
3,30.115989859283218,1.5850520978570115
4,29.718314626969914,1.5641218224721007
5,28.433791941771233,1.4965153653563807
6,26.798340765816647,1.4104389876745604
7,24.995608455347792,1.315558339755147
8,22.458585604462314,1.1820308212874902
9,18.7361802830128,0.9861147517375158
10,14.374435900894241,0.7565492579418022
11,8.769068369794695,0.4615299141997208
12,0.7328693516947169,0.0385720711418272
13,-8.282710474710257,-0.4359321302479082
14,-19.668811406810164,-1.0352006003584298
15,-32.74193232843572,-1.7232595962334591
16,-15.15934833706433,-0.7978604387928595
17,-3.4711227014513497,-0.18269066849743945
18,4.374409419246149,0.23023207469716572
19,14.580752186760037,0.7674080098294757
20,29.809775853726023,1.568935571248738
21,30.12868118415099,1.5857200623237364
22,27.001292441274018,1.4211206548038957
23,27.58654992488664,1.4519236802571915
24,28.514654676320788,1.5007712987537256
25,31.94020007186191,1.6810631616769427
26,31.869687709954633,1.6773519847344545
27,30.673753092944935,1.6144080575234177
28,28.31482090066129,1.490253731613752
29,28.426873764868105,1.4961512507825319
30,28.949158199763588,1.5236399052507152
31,29.468082727949877,1.5509517225236777
32,28.09784664905237,1.4788340341606512
33,26.092680074658347,1.3732989512978078
34,24.772505839431687,1.3038160968121941
35,27.549631911488177,1.4499806269204303
36,30.008511805162925,1.5793953581664697
37,31.68821871905584,1.6678009852134652
38,34.45595361637788,1.813471242967257
39,34.64269828439228,1.823299909704857
40,31.423001246554122,1.6538421708712696
41,26.907489718550096,1.4161836693973735
42,26.896619571174597,1.4156115563776104
43,26.759901940312375,1.4084158915953882
44,26.805157092474474,1.4107977417091828
45,28.096938905915522,1.47878625820608
46,29.297734693902385,1.5419860365211782
47,33.00695074735813,1.7372079340714806
48,36.41934010076511,1.9168073737244795
49,42.56222241843261,2.24011696939119
50,45.879805372679584,2.4147265985620834
51,49.80860617297367,2.621505588051246
52,50.193092183716544,2.641741693879818
53,47.49997650878049,2.499998763620026
54,42.96939299935366,2.261546999965982
55,40.16672057263804,2.1140379248756864
56,35.29066151560983,1.857403237663675
57,32.24509009746453,1.6971100051297119
58,32.05202962093699,1.6869489274177365
59,31.323234177506492,1.6485912725003418
60,31.1696611147554,1.6405084797239684
61,30.2613127272798,1.5927006698568316
62,28.79712701050903,1.5156382637110015
63,28.343263332022616,1.4917507016854008
64,27.513763074000963,1.4480927933684717
65,26.509386575440658,1.3952308723916136
66,25.8018266946101,1.3579908786636894
67,23.64083204259623,1.2442543180313805
68,24.239554754800338,1.2757660397263335
69,23.371102147124475,1.2300580077433934
70,20.86618496104711,1.0982202611077427
71,23.114223745435993,1.2165380918650524
72,24.432904068828975,1.2859423194120514
73,23.388853497153832,1.2309922893238858
74,26.4424795176692,1.391709448298379
75,26.817673464634026,1.411456498138633
76,29.27344429041841,1.5407075942325479
77,28.796577521427025,1.5156093432330013
78,28.211311933737306,1.4848058912493318
79,27.421433043466095,1.4432333180771628
80,27.4008318268734,1.4421490435196527
81,30.057007065975995,1.5819477403145261
82,35.844069013115586,1.886529948058715
83,40.79498380333189,2.147104410701678
84,42.80365578551027,2.252823988711067
85,44.907672168834324,2.3635616930965435
86,45.78910875584461,2.409953092412874
87,48.35445781874296,2.5449714641443664
88,51.05554207681325,2.687133793516487
89,51.92895941574898,2.733103127144683
90,51.78172547223221,2.725353972222748
91,52.955186491658424,2.787115078508338
92,55.99436095952478,2.947071629448673
93,57.30575040842359,3.0160921267591365
94,53.76106358940524,2.829529662600276
95,50.422726118034916,2.65382769042289
96,48.473761062997255,2.5512505822630134
97,45.55767180905241,2.3977722004764424
98,45.26021828005287,2.38211675158173
99,47.071877092186696,2.477467215378247
100,47.609760010660466,2.5057768426663403
101,44.45753695291751,2.339870365943027
102,43.28277922974485,2.278041012091834
103,45.55437317627457,2.397598588224977
104,49.870730196163095,2.624775273482268
105,46.352670493379264,2.4396142364936453
106,42.74382181240708,2.2496748322319515
107,40.64627604917678,2.1392776867987777
108,37.935579871708796,1.996609466932042
109,36.95014252975943,1.944744343671549
110,35.13213269769949,1.8490596156683943
111,34.682246129882515,1.8253813752569745
112,33.420314036675336,1.758963896667123
113,32.54732433550544,1.7130170702897598
114,32.78259700374383,1.725399842302307
115,32.60965646766908,1.7162977088246887
116,31.86446051691837,1.6770768693114932
117,31.501658038805544,1.657982002042397
118,31.7587641845721,1.671513904451163
119,31.303291430986974,1.6475416542624723
