domain_id,annual_rate_m_per_yr
1.0,-4.99
2.0,-2.834
3.0,-3.6799999999999997
4.0,-2.972
5.0,-2.225
6.0,-0.033333333333333326
7.0,0.56
8.0,-1.01
9.0,-0.9219999999999999
10.0,-1.518
11.0,-0.966
12.0,-0.9
13.0,-0.526
14.0,0.365
15.0,-0.10333333333333333
16.0,-0.2625
17.0,0.28
18.0,0.778
19.0,1.2120000000000002
20.0,2.518
21.0,2.522
22.0,2.396
23.0,2.604
24.0,1.6300000000000001
25.0,1.59
26.0,-0.276
27.0,-0.45999999999999996
28.0,0.48
29.0,1.1280000000000001
30.0,2.322
31.0,3.4519999999999995
32.0,4.394
33.0,3.5159999999999996
34.0,1.955
35.0,1.3679999999999999
36.0,1.08
37.0,1.0
38.0,1.4433333333333334
39.0,-0.13199999999999998
40.0,1.2433333333333332
41.0,1.982
42.0,1.4
43.0,1.21
44.0,-0.288
45.0,-0.03666666666666668
46.0,0.8466666666666667
47.0,0.836
48.0,0.292
49.0,-0.172
50.0,-1.0833333333333333
51.0,-0.82
52.0,0.99
53.0,0.009999999999999981
54.0,-0.686
55.0,-0.784
56.0,-0.704
57.0,1.48
58.0,2.242
59.0,1.558
60.0,2.492
61.0,2.906
62.0,4.12
63.0,4.851999999999999
64.0,5.034000000000001
65.0,5.018
66.0,3.524
67.0,1.91
68.0,1.6925000000000001
69.0,2.4859999999999998
70.0,2.482
71.0,1.0075
72.0,-1.8719999999999999
73.0,-1.326
74.0,-0.41500000000000004
75.0,-0.722
76.0,1.1
77.0,0.94
78.0,-1.57
79.0,-2.4240000000000004
80.0,-1.3475
81.0,-0.7175
82.0,-1.874
83.0,-2.425
84.0,-1.24
85.0,-1.6239999999999999
86.0,-0.7566666666666667
87.0,-0.58
88.0,0.87
89.0,-0.34
90.0,-0.32666666666666666
