window,solve,step,gis1,gis90,scored_against,model_column,n,bias_m_yr,rmse_m_yr
1984_2004,coastsat,,-42.6,13.0,coastsat_lrr,lrr_m_yr,88,0.16421602435082258,1.2242192310694788
1984_2004,coastsat,,-42.6,13.0,duneline_endpoint,change_rate_m_yr,88,-0.08803322678532505,2.2061162835452226
1984_2004,dune-mean3,2,-1.6,6.2,coastsat_lrr,lrr_m_yr,88,0.41984576643264665,1.443595628094989
1984_2004,dune-mean3,2,-1.6,6.2,duneline_endpoint,change_rate_m_yr,88,0.16074549130171187,2.0234006473115915
1984_2004,dune-raw,3,31.8,9.5,coastsat_lrr,lrr_m_yr,88,0.6237571144957947,1.8336548310539684
1984_2004,dune-raw,3,31.8,9.5,duneline_endpoint,change_rate_m_yr,88,0.37406374169787604,2.146400992916704
1996_2010,coastsat,,32.2,10.0,coastsat_lrr,lrr_m_yr,88,0.02916926053768557,1.1407032440363902
1996_2010,coastsat,,32.2,10.0,duneline_endpoint,change_rate_m_yr,88,0.9023530737265666,2.9489829003726196
1996_2010,dune-mean3,4,-28.6,-3.1,coastsat_lrr,lrr_m_yr,88,-0.4661243323660927,1.4503841370946464
1996_2010,dune-mean3,4,-28.6,-3.1,duneline_endpoint,change_rate_m_yr,88,0.4065142519910681,2.350712781980722
1996_2010,dune-raw,2,-2.7,2.1,coastsat_lrr,lrr_m_yr,88,-0.22545199439314362,1.1120185475580306
1996_2010,dune-raw,2,-2.7,2.1,duneline_endpoint,change_rate_m_yr,88,0.6432123128773528,2.5647008686864594
2004_2024,coastsat,,50.3,46.7,coastsat_lrr,lrr_m_yr,88,-1.003451769444954,1.793298015359415
2004_2024,coastsat,,50.3,46.7,duneline_endpoint,change_rate_m_yr,88,-0.07457701327096748,2.2909293137291593
2004_2024,dune-mean3,3,-6.2,15.9,coastsat_lrr,lrr_m_yr,88,-1.5731632576545307,2.1133333453566103
2004_2024,dune-mean3,3,-6.2,15.9,duneline_endpoint,change_rate_m_yr,88,-0.63714569362132,1.728025413059928
2004_2024,dune-raw,2,-2.7,18.1,coastsat_lrr,lrr_m_yr,88,-1.5295947125465617,2.066359998760909
2004_2024,dune-raw,2,-2.7,18.1,duneline_endpoint,change_rate_m_yr,88,-0.5958255015342488,1.7448999544904777
2010_2024,coastsat,,72.6,31.3,coastsat_lrr,lrr_m_yr,88,-1.3304937074790895,2.306200521955492
2010_2024,coastsat,,72.6,31.3,duneline_endpoint,change_rate_m_yr,88,-0.3093863679057959,2.0094314028353026
2010_2024,dune-mean3,2,27.2,10.8,coastsat_lrr,lrr_m_yr,88,-1.767887961243793,2.3696792099423436
2010_2024,dune-mean3,2,27.2,10.8,duneline_endpoint,change_rate_m_yr,88,-0.7401777572452414,1.6890993877955103
2010_2024,dune-raw,2,27.8,12.3,coastsat_lrr,lrr_m_yr,88,-1.7523016047306839,2.362058296601381
2010_2024,dune-raw,2,27.8,12.3,duneline_endpoint,change_rate_m_yr,88,-0.7247534988475107,1.6870901119061417
