domain_id,LineID,ORIG_LEN,n_crossings,x,y,feature_type,year,source_type,method,editor,edit_date,notes,duneline_file,transect_file,built,built_by
1,12,8241.367164762458,1,451957.08513523755,3898862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
1,13,8220.764148386777,1,451977.6881516132,3898962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
1,14,8200.161132011099,1,451998.2911679889,3899062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
1,15,8179.558115635416,1,452018.8941843646,3899162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
1,16,8149.709575538291,1,452048.7427244617,3899262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
2,17,8114.523950495699,1,452083.9283495043,3899362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
2,18,8090.386010041112,1,452108.0662899589,3899462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
2,19,8073.658914152067,1,452124.79338584794,3899562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
2,20,8060.6452110619875,1,452137.807088938,3899662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
2,21,8047.631507971965,1,452150.82079202804,3899762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
3,22,8034.617804881884,1,452163.8344951181,3899862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
3,23,8026.054492104915,1,452172.3978078951,3899962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
3,24,8013.929505072767,1,452184.52279492724,3900062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
3,25,7998.0204059794205,1,452200.4318940206,3900162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
3,26,7980.34837845224,1,452218.10392154776,3900262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
4,27,7957.897024122824,1,452240.5552758772,3900362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
4,28,7937.049932343769,1,452261.40236765624,3900462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
4,29,7916.9833261002195,1,452281.4689738998,3900562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
4,30,7890.197601946478,1,452308.2546980535,3900662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
4,31,7862.7835030392735,1,452335.66879696073,3900762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
5,32,7833.579957884445,1,452364.87234211556,3900862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
5,33,7809.819787558575,1,452388.6325124414,3900962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
5,34,7782.650702302984,1,452415.801597697,3901062.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
5,35,7743.146698160097,1,452455.3056018399,3901162.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
5,36,7700.440031371604,1,452498.0122686284,3901262.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
6,37,7649.317275743932,1,452549.1350242561,3901362.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
6,38,7521.867933493049,1,452676.58436650696,3901462.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
6,39,7498.848226595322,1,452699.6040734047,3901562.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
6,40,7468.739262257121,1,452729.7130377429,3901662.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
6,41,7449.401131555205,1,452749.0511684448,3901762.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
7,42,7435.278890559508,1,452763.1734094405,3901862.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
7,43,7432.068474394154,1,452766.38382560585,3901962.3268999998,Island orientation,1997,Aerial Imagery,Digitized from light/dark elevation break (no DEM available),H. Henry,1762214400000,n/a,duneline_1997.geojson,transects_100m.geojson,2026-09-18,duneline_to_raw_offsets.py
