OID_,domain_id,COUNT,AREA,RoadBuffer_mean_1m
86,103,1536.000000000000000,1536.000000000000000,0.783931546844542
87,104,1528.000000000000000,1528.000000000000000,0.799969395378809
88,105,1545.000000000000000,1545.000000000000000,0.810484309759727
89,106,1559.000000000000000,1559.000000000000000,0.842381014320773
90,107,1537.000000000000000,1537.000000000000000,0.806375543948653
91,108,1537.000000000000000,1537.000000000000000,0.780060037592439
92,109,1541.000000000000000,1541.000000000000000,0.930241786954002
93,110,1510.000000000000000,1510.000000000000000,1.071784085469530
94,111,1506.000000000000000,1506.000000000000000,0.984456966043627
95,112,1526.000000000000000,1526.000000000000000,1.042059402947032
96,113,1534.000000000000000,1534.000000000000000,1.048478737803760
97,114,1543.000000000000000,1543.000000000000000,1.114796843029660
98,115,1510.000000000000000,1510.000000000000000,1.047323966578933
99,116,1508.000000000000000,1508.000000000000000,1.276314492804304
100,117,1535.000000000000000,1535.000000000000000,1.391362726571895
101,118,1535.000000000000000,1535.000000000000000,1.293630261374608
102,119,1509.000000000000000,1509.000000000000000,1.273041772163019
103,120,1510.000000000000000,1510.000000000000000,1.237735044877262
104,121,1514.000000000000000,1514.000000000000000,1.334029111553529
105,122,1526.000000000000000,1526.000000000000000,1.931030206880283
106,123,1510.000000000000000,1510.000000000000000,1.960885514881437
107,124,1511.000000000000000,1511.000000000000000,2.631775517403719
108,125,1510.000000000000000,1510.000000000000000,2.533698799594347
109,126,1525.000000000000000,1525.000000000000000,2.088800604226159
110,127,1525.000000000000000,1525.000000000000000,4.260595516767654
111,128,1521.000000000000000,1521.000000000000000,3.096786225884463
112,129,3239.000000000000000,3239.000000000000000,1.558458423993586
