window,domain_number,lrr_interval_yr,dune_interval_yr,mean_lrr_m_yr,shoreline_change_m,shoreline_change_dune_interval_m,dune_change_m,dune_rate_m_yr,beach_width_change_m,beach_width_change_dune_interval_m,n_coastsat_transects,n_dune_transects
1996_2010,65,14.0,11.63,-2.299,-32.182,-26.735,-4.1,-0.353,-28.082,-22.635,10,5
1996_2010,66,14.0,11.63,-1.072,-15.004,-12.465,-4.947,-0.425,-10.057,-7.518,11,5
1996_2010,67,14.0,11.63,2.21,30.938,25.702,-5.928,-0.51,36.866,31.63,10,5
1996_2010,68,14.0,11.63,5.065,70.903,58.902,2.762,0.237,68.141,56.14,10,5
1996_2010,69,14.0,11.63,3.786,53.006,44.034,10.685,0.919,42.321,33.349,10,5
1996_2010,70,14.0,11.63,0.681,9.541,7.926,-4.22,-0.363,13.761,12.146,10,5
1996_2010,71,14.0,11.63,-0.44,-6.155,-5.113,-3.799,-0.327,-2.356,-1.314,10,5
1996_2010,72,14.0,11.63,-0.895,-12.536,-10.414,-3.2,-0.275,-9.336,-7.214,10,5
1996_2010,73,14.0,11.63,-0.418,-5.847,-4.858,7.4,0.636,-13.247,-12.258,10,5
1996_2010,74,14.0,11.63,1.735,24.285,20.174,15.883,1.366,8.402,4.291,10,5
1996_2010,75,14.0,11.63,0.004,0.062,0.051,14.054,1.208,-13.992,-14.003,10,5
1996_2010,76,14.0,11.63,-3.045,-42.633,-35.417,-22.8,-1.96,-19.833,-12.617,10,5
1996_2010,77,14.0,11.63,-3.238,-45.338,-37.664,-57.317,-4.928,11.979,19.653,10,5
1996_2010,78,14.0,11.63,-2.659,-37.219,-30.92,-58.746,-5.051,21.527,27.826,10,5
1996_2010,79,14.0,11.63,-1.735,-24.284,-20.174,-23.736,-2.041,-0.548,3.562,10,5
1996_2010,80,14.0,11.63,-5.449,-76.282,-63.371,-28.796,-2.476,-47.486,-34.575,10,5
1996_2010,81,14.0,11.63,-4.546,-63.647,-52.875,-61.284,-5.269,-2.363,8.409,10,5
1996_2010,82,14.0,11.63,-0.62,-8.686,-7.216,-47.457,-4.08,38.771,40.241,10,5
1996_2010,83,14.0,11.63,-2.234,-31.274,-25.981,-34.846,-2.996,3.572,8.865,10,5
1996_2010,84,14.0,11.63,-3.328,-46.586,-38.701,-57.191,-4.917,10.605,18.49,11,5
1996_2010,85,14.0,11.63,-2.715,-38.015,-31.581,-53.277,-4.581,15.262,21.696,12,5
1996_2010,86,14.0,11.63,-2.475,-34.651,-28.786,-53.624,-4.611,18.973,24.838,12,5
1996_2010,87,14.0,11.63,-2.071,-28.995,-24.088,-46.644,-4.011,17.649,22.556,11,5
1996_2010,88,14.0,11.63,-0.912,-12.771,-10.609,-34.541,-2.97,21.77,23.932,10,5
1996_2010,89,14.0,11.63,-0.202,-2.83,-2.351,-23.515,-2.022,20.685,21.164,9,5
1996_2010,90,14.0,11.63,-0.304,-4.255,-3.535,-13.074,-1.124,8.819,9.539,10,5
2010_2024,1,14.0,14.086,6.896,96.545,97.139,14.678,1.042,81.867,82.461,9,5
2010_2024,2,14.0,14.086,4.05,56.694,57.043,18.465,1.311,38.229,38.578,11,5
2010_2024,3,14.0,14.086,3.441,48.173,48.469,22.541,1.6,25.632,25.928,10,5
2010_2024,4,14.0,14.086,3.311,46.35,46.636,19.414,1.378,26.936,27.222,13,5
2010_2024,5,14.0,14.086,2.411,33.75,33.957,5.255,0.373,28.495,28.702,13,5
2010_2024,6,14.0,14.086,-1.13,-15.825,-15.923,-30.336,-2.154,14.511,14.413,6,5
2010_2024,7,14.0,14.086,-0.168,-2.351,-2.365,-38.824,-2.756,36.473,36.459,4,5
2010_2024,8,14.0,14.086,1.573,22.024,22.16,-39.748,-2.822,61.772,61.908,8,5
2010_2024,9,14.0,14.086,2.643,36.998,37.226,-11.782,-0.836,48.78,49.008,9,5
2010_2024,10,14.0,14.086,3.724,52.137,52.458,-6.676,-0.474,58.813,59.134,10,5
2010_2024,11,14.0,14.086,4.048,56.67,57.019,12.964,0.92,43.706,44.055,10,5
2010_2024,12,14.0,14.086,3.531,49.434,49.739,22.712,1.612,26.722,27.027,10,5
2010_2024,13,14.0,14.086,2.828,39.596,39.84,19.164,1.36,20.432,20.676,11,5
2010_2024,14,14.0,14.086,3.603,50.446,50.756,18.292,1.299,32.154,32.464,10,5
2010_2024,15,14.0,14.086,3.585,50.194,50.503,19.575,1.39,30.619,30.928,10,5
2010_2024,16,14.0,14.086,2.756,38.587,38.825,-0.967,-0.069,39.554,39.792,10,5
2010_2024,17,14.0,14.086,2.981,41.735,41.992,22.114,1.57,19.621,19.878,10,5
2010_2024,18,14.0,14.086,3.371,47.194,47.485,21.31,1.513,25.884,26.175,10,5
2010_2024,19,14.0,14.086,3.307,46.302,46.587,32.978,2.341,13.324,13.609,10,5
2010_2024,20,14.0,14.086,3.223,45.123,45.401,28.954,2.055,16.169,16.447,10,5
2010_2024,21,14.0,14.086,1.667,23.341,23.485,7.266,0.516,16.075,16.219,11,5
2010_2024,22,14.0,14.086,-0.026,-0.366,-0.369,-24.416,-1.733,24.05,24.047,10,5
2010_2024,23,14.0,14.086,-0.582,-8.154,-8.204,-44.744,-3.176,36.59,36.54,10,5
2010_2024,24,14.0,14.086,0.705,9.867,9.928,-39.341,-2.793,49.208,49.269,10,5
2010_2024,25,14.0,14.086,0.442,6.193,6.231,-42.823,-3.04,49.016,49.054,10,5
2010_2024,26,14.0,14.086,0.292,4.084,4.11,-12.782,-0.907,16.866,16.892,10,5
2010_2024,27,14.0,14.086,-0.587,-8.224,-8.275,1.974,0.14,-10.198,-10.249,10,5
2010_2024,28,14.0,14.086,2.23,31.227,31.419,33.251,2.361,-2.024,-1.832,10,5
2010_2024,29,14.0,14.086,4.642,64.994,65.394,37.63,2.671,27.364,27.764,10,5
2010_2024,30,14.0,14.086,4.601,64.418,64.815,21.435,1.522,42.983,43.38,10,5
2010_2024,31,14.0,14.086,2.518,35.25,35.467,25.337,1.799,9.913,10.13,11,5
2010_2024,32,14.0,14.086,2.255,31.567,31.761,37.19,2.64,-5.623,-5.429,10,5
2010_2024,33,14.0,14.086,2.536,35.511,35.729,30.413,2.159,5.098,5.316,11,5
2010_2024,34,14.0,14.086,3.805,53.276,53.604,13.318,0.945,39.958,40.286,10,5
2010_2024,35,14.0,14.086,3.464,48.5,48.798,8.16,0.579,40.34,40.638,11,5
2010_2024,36,14.0,14.086,2.489,34.848,35.063,7.752,0.55,27.096,27.311,10,5
2010_2024,37,14.0,14.086,1.02,14.283,14.371,2.159,0.153,12.124,12.212,11,5
2010_2024,38,14.0,14.086,0.962,13.463,13.546,6.786,0.482,6.677,6.76,10,5
2010_2024,39,14.0,14.086,1.401,19.61,19.73,-0.776,-0.055,20.386,20.506,10,5
2010_2024,40,14.0,14.086,0.835,11.692,11.764,-10.006,-0.71,21.698,21.77,10,5
2010_2024,41,14.0,14.086,0.774,10.831,10.898,1.732,0.123,9.099,9.166,10,5
2010_2024,42,14.0,14.086,0.133,1.863,1.875,5.069,0.36,-3.206,-3.194,10,5
2010_2024,43,14.0,14.086,0.302,4.23,4.256,-7.594,-0.539,11.824,11.85,10,5
2010_2024,44,14.0,14.086,0.07,0.977,0.983,-1.61,-0.114,2.587,2.593,10,5
2010_2024,45,14.0,14.086,-0.109,-1.529,-1.538,-3.009,-0.214,1.48,1.471,10,5
2010_2024,46,14.0,14.086,-0.994,-13.922,-14.007,-13.226,-0.939,-0.696,-0.781,10,5
2010_2024,47,14.0,14.086,-0.037,-0.513,-0.516,-17.317,-1.229,16.804,16.801,10,5
2010_2024,48,14.0,14.086,0.09,1.265,1.273,1.244,0.088,0.021,0.029,10,5
2010_2024,49,14.0,14.086,-0.75,-10.507,-10.571,4.213,0.299,-14.72,-14.784,10,5
2010_2024,50,14.0,14.086,-1.355,-18.973,-19.09,2.478,0.176,-21.451,-21.568,10,5
2010_2024,51,14.0,14.086,-1.31,-18.345,-18.458,3.229,0.229,-21.574,-21.687,10,5
2010_2024,52,14.0,14.086,-1.808,-25.31,-25.466,-13.293,-0.944,-12.017,-12.173,10,5
2010_2024,53,14.0,14.086,-1.242,-17.387,-17.494,-16.81,-1.193,-0.577,-0.684,10,5
2010_2024,54,14.0,14.086,-1.314,-18.397,-18.51,-21.004,-1.491,2.607,2.494,10,5
2010_2024,55,14.0,14.086,-1.037,-14.523,-14.613,-22.596,-1.604,8.073,7.983,10,5
2010_2024,56,14.0,14.086,-0.507,-7.098,-7.142,-3.384,-0.24,-3.714,-3.758,11,5
2010_2024,57,14.0,14.086,0.289,4.052,4.077,7.735,0.549,-3.683,-3.658,10,5
2010_2024,58,14.0,14.086,0.617,8.635,8.688,0.729,0.052,7.906,7.959,10,5
2010_2024,59,14.0,14.086,0.435,6.091,6.128,4.421,0.314,1.67,1.707,10,5
2010_2024,60,14.0,14.086,-0.251,-3.518,-3.54,-3.571,-0.254,0.053,0.031,10,5
2010_2024,61,14.0,14.086,-1.116,-15.626,-15.723,-15.65,-1.111,0.024,-0.073,10,5
2010_2024,62,14.0,14.086,-1.247,-17.464,-17.572,-21.765,-1.545,4.301,4.193,10,5
2010_2024,63,14.0,14.086,1.441,20.173,20.297,-16.37,-1.162,36.543,36.667,10,5
2010_2024,64,14.0,14.086,2.272,31.806,32.002,-5.223,-0.371,37.029,37.225,10,5
2010_2024,65,14.0,14.086,2.905,40.667,40.917,6.68,0.474,33.987,34.237,10,5
2010_2024,66,14.0,14.086,4.799,67.192,67.605,21.382,1.518,45.81,46.223,11,5
2010_2024,67,14.0,14.086,3.927,54.971,55.31,30.379,2.157,24.592,24.931,10,5
2010_2024,68,14.0,14.086,1.656,23.188,23.33,24.403,1.732,-1.215,-1.073,10,5
2010_2024,69,14.0,14.086,1.51,21.135,21.265,13.63,0.968,7.505,7.635,10,5
2010_2024,70,14.0,14.086,1.923,26.924,27.09,16.41,1.165,10.514,10.68,10,5
2010_2024,71,14.0,14.086,1.429,20.005,20.128,6.378,0.453,13.627,13.75,10,5
2010_2024,72,14.0,14.086,1.752,24.532,24.684,20.983,1.49,3.549,3.701,10,5
2010_2024,73,14.0,14.086,0.403,5.641,5.675,29.56,2.099,-23.919,-23.885,10,5
2010_2024,74,14.0,14.086,-0.882,-12.345,-12.421,10.116,0.718,-22.461,-22.537,10,5
2010_2024,75,14.0,14.086,0.062,0.865,0.87,-16.704,-1.186,17.569,17.574,10,5
2010_2024,76,14.0,14.086,-0.619,-8.66,-8.714,-21.164,-1.502,12.504,12.45,10,5
2010_2024,77,14.0,14.086,-2.126,-29.765,-29.948,-22.295,-1.583,-7.47,-7.653,10,5
2010_2024,78,14.0,14.086,-3.527,-49.381,-49.685,-31.684,-2.249,-17.697,-18.001,10,5
2010_2024,79,14.0,14.086,-0.86,-12.035,-12.109,-15.731,-1.117,3.696,3.622,10,5
2010_2024,80,14.0,14.086,-0.14,-1.967,-1.979,-16.581,-1.177,14.614,14.602,10,5
2010_2024,81,14.0,14.086,-0.16,-2.238,-2.251,2.138,0.152,-4.376,-4.389,10,5
2010_2024,82,14.0,14.086,-1.723,-24.116,-24.265,-1.134,-0.081,-22.982,-23.131,10,5
2010_2024,83,14.0,14.086,-1.257,-17.592,-17.701,-35.456,-2.517,17.864,17.755,10,5
2010_2024,84,14.0,14.086,-0.415,-5.811,-5.847,-22.138,-1.572,16.327,16.291,11,5
