domain_number,n_transects,mean_change_m,std_change_m,min_change_m,max_change_m,mean_rate_m_yr,std_rate_m_yr,pct_landward,median_n_start,median_n_end,n_transects_empty_window
1,9,59.957,16.759,45.389,91.118,3.139,0.877,0.0,19.0,37.0,0
2,11,47.855,2.217,45.2,52.302,2.506,0.116,0.0,16.0,38.0,0
3,10,46.002,3.419,41.659,52.926,2.409,0.179,0.0,18.0,37.5,0
4,13,52.544,10.179,38.731,65.7,2.751,0.533,0.0,19.0,36.0,0
5,13,15.899,14.483,0.872,36.967,0.832,0.758,0.0,18.0,38.0,0
6,6,-28.334,21.115,-45.57,9.863,-1.484,1.106,83.333,20.0,36.0,0
7,4,-13.55,9.9,-27.317,-6.05,-0.709,0.518,100.0,17.0,37.0,0
8,8,2.33,8.177,-10.118,13.248,0.122,0.428,25.0,20.5,37.0,0
9,9,12.613,3.659,8.274,18.896,0.66,0.192,0.0,19.0,37.0,0
10,10,23.345,4.568,17.746,32.602,1.222,0.239,0.0,18.5,37.0,0
11,10,27.123,3.748,20.778,31.762,1.42,0.196,0.0,18.0,34.5,0
12,10,16.979,2.068,13.099,20.294,0.889,0.108,0.0,21.0,35.0,0
13,11,16.932,5.935,9.348,26.157,0.887,0.311,0.0,19.0,35.0,0
14,10,31.927,4.506,26.498,37.495,1.672,0.236,0.0,20.5,35.0,0
15,10,29.087,4.479,21.137,33.386,1.523,0.235,0.0,18.0,36.0,0
16,10,25.813,2.155,22.959,29.375,1.352,0.113,0.0,20.0,39.0,0
17,10,31.871,7.717,21.713,44.607,1.669,0.404,0.0,19.0,37.0,0
18,10,44.16,1.698,41.778,46.76,2.312,0.089,0.0,19.5,36.0,0
19,10,44.61,2.433,40.364,48.284,2.336,0.127,0.0,17.0,36.0,0
20,10,31.525,9.01,21.481,49.064,1.651,0.472,0.0,20.0,36.0,0
21,11,13.02,8.382,-1.504,23.975,0.682,0.439,18.182,19.0,39.0,0
22,10,-11.972,5.703,-20.285,-3.726,-0.627,0.299,100.0,19.0,39.0,0
23,10,-30.081,9.038,-40.295,-18.284,-1.575,0.473,100.0,18.0,39.0,0
24,10,-38.481,2.869,-44.042,-34.707,-2.015,0.15,100.0,20.0,39.0,0
25,10,-41.899,5.265,-48.737,-35.242,-2.194,0.276,100.0,20.0,39.0,0
26,10,-31.846,4.452,-39.218,-24.774,-1.667,0.233,100.0,20.0,38.0,0
27,10,-2.444,6.321,-16.166,8.407,-0.128,0.331,70.0,20.0,38.0,0
28,10,43.777,18.731,14.172,68.374,2.292,0.981,0.0,21.0,39.0,0
29,10,63.824,2.911,57.431,68.591,3.342,0.152,0.0,20.0,39.0,0
30,10,48.77,4.532,41.785,54.666,2.554,0.237,0.0,21.0,39.0,0
31,11,45.999,2.203,42.648,50.201,2.408,0.115,0.0,21.0,39.0,0
32,10,40.217,1.329,38.278,42.64,2.106,0.07,0.0,21.5,40.0,0
33,11,41.778,1.541,39.633,44.434,2.187,0.081,0.0,20.0,39.0,0
34,10,40.705,3.501,33.32,44.273,2.131,0.183,0.0,21.0,40.0,0
35,11,12.596,10.875,-0.146,31.367,0.659,0.569,9.091,21.0,40.0,0
36,10,6.634,1.887,2.155,8.524,0.347,0.099,0.0,22.0,40.0,0
37,11,11.287,2.912,8.077,16.165,0.591,0.152,0.0,21.0,40.0,0
38,10,8.56,2.01,4.839,11.246,0.448,0.105,0.0,21.0,40.0,0
39,10,11.418,1.096,9.742,13.19,0.598,0.057,0.0,21.0,40.0,0
40,10,21.603,4.832,13.73,28.207,1.131,0.253,0.0,21.5,38.0,0
41,10,31.685,5.88,21.133,38.728,1.659,0.308,0.0,19.5,36.5,0
42,10,22.343,2.466,19.603,26.602,1.17,0.129,0.0,21.0,36.0,0
43,10,3.468,9.35,-6.222,19.22,0.182,0.49,50.0,21.0,35.0,0
44,10,-4.735,4.611,-11.353,1.271,-0.248,0.241,90.0,21.0,36.0,0
45,10,-12.787,5.718,-20.082,-4.344,-0.669,0.299,100.0,21.0,36.0,0
46,10,-20.883,4.493,-27.717,-15.679,-1.093,0.235,100.0,21.0,39.0,0
47,10,-23.825,2.471,-26.536,-20.223,-1.247,0.129,100.0,20.5,41.0,0
48,10,-15.103,6.279,-23.08,-8.455,-0.791,0.329,100.0,20.5,40.0,0
49,10,-10.885,2.058,-13.709,-7.747,-0.57,0.108,100.0,20.0,40.0,0
50,10,-5.205,5.344,-11.975,-0.74,-0.273,0.28,100.0,20.0,40.0,0
51,10,-2.956,2.351,-6.477,0.118,-0.155,0.123,90.0,18.5,40.0,0
52,10,-6.216,2.655,-11.1,-2.939,-0.325,0.139,100.0,20.0,39.5,0
53,10,-20.339,7.922,-29.273,-4.917,-1.065,0.415,100.0,19.0,41.0,0
54,10,-19.937,1.729,-22.096,-17.234,-1.044,0.091,100.0,21.0,41.0,0
55,10,-16.337,3.216,-21.952,-12.555,-0.855,0.168,100.0,18.0,40.0,0
56,11,-11.776,3.71,-17.576,-7.51,-0.617,0.194,100.0,21.0,40.0,0
57,10,-1.59,3.41,-6.179,3.286,-0.083,0.179,70.0,20.0,39.0,0
58,10,6.738,4.044,0.78,11.506,0.353,0.212,0.0,21.0,39.5,0
59,10,2.09,4.35,-8.175,5.667,0.109,0.228,20.0,20.0,39.0,0
60,10,-19.215,4.442,-24.193,-10.207,-1.006,0.233,100.0,20.0,39.0,0
61,10,-30.885,6.359,-39.234,-21.899,-1.617,0.333,100.0,19.0,39.0,0
62,10,-32.645,4.432,-38.552,-26.766,-1.709,0.232,100.0,20.0,39.0,0
63,10,-8.627,4.369,-17.613,-2.82,-0.452,0.229,100.0,19.0,38.0,0
64,10,-2.98,2.501,-5.515,1.802,-0.156,0.131,80.0,20.5,38.5,0
65,10,19.556,12.43,4.676,37.557,1.024,0.651,0.0,19.0,38.0,0
66,11,59.663,10.206,42.424,72.123,3.124,0.534,0.0,20.0,37.0,0
67,10,63.751,6.76,55.522,74.071,3.338,0.354,0.0,19.5,37.0,0
68,10,50.679,2.678,47.622,55.782,2.653,0.14,0.0,19.0,37.0,0
69,10,42.24,8.229,28.332,50.388,2.212,0.431,0.0,19.0,38.5,0
