domain_number,unit_id,transect_id,direction,ref_window,ref_lrr_m_yr,ref_unc_m_yr,ref_n_obs,marked_window,lrr_marked_m_yr,unc_marked_m_yr,diff_marked_m_yr,marked_in_ci,marked_in_abs,marked_in_rel,marked_in_ci3x,marked_in_abs50,marked_in_abs100,marked_in_overlap,first_entry_ci,stable_entry_ci,years_needed_ci,first_entry_abs,stable_entry_abs,years_needed_abs,first_entry_rel,stable_entry_rel,years_needed_rel,first_entry_ci3x,stable_entry_ci3x,years_needed_ci3x,first_entry_abs50,stable_entry_abs50,years_needed_abs50,first_entry_abs100,stable_entry_abs100,years_needed_abs100,first_entry_overlap,stable_entry_overlap,years_needed_overlap
1,usa_NC_0032_0025,usa_NC_0032_0025,forward,1996_2020,0.2077,0.3018,382,1996_2010,3.5079,0.6678,3.3002,False,False,False,False,False,False,False,2018,2018,23,2018,2018,23,2019,2019,24,2003,2017,22,2017,2017,22,2003,2016,21,2003,2017,22
13,usa_NC_0032_0140,usa_NC_0032_0140,forward,1996_2020,-0.8119,0.1968,379,1996_2010,-2.2346,0.4197,-1.4227,False,False,False,False,False,False,False,2004,2019,24,2004,2019,24,2004,2019,24,2004,2014,19,2004,2017,22,2003,2011,16,2003,2018,23
26,usa_NC_0033_0058,usa_NC_0033_0058,forward,1996_2020,-2.5336,0.2003,422,1996_2010,-2.0292,0.5157,0.5044,False,False,True,True,False,True,True,2018,2018,23,2016,2016,21,2010,2013,18,2010,2010,15,2011,2013,18,2010,2010,15,2010,2010,15
38,usa_NC_0033_0183,usa_NC_0033_0183,forward,1996_2020,-0.5372,0.202,450,1996_2010,0.8045,0.4793,1.3417,False,False,False,False,False,False,False,2006,2016,21,2006,2016,21,2017,2017,22,2006,2013,18,2006,2014,19,2001,2011,16,2000,2013,18
51,usa_NC_0034_0054,usa_NC_0034_0054,forward,1996_2020,-0.5255,0.2101,450,1996_2010,-0.5605,0.518,-0.035,True,True,True,True,True,True,True,2007,2016,21,2007,2015,20,2007,2016,21,2006,2006,11,2007,2014,19,2006,2006,11,2006,2014,19
64,usa_NC_0034_0186,usa_NC_0034_0186,forward,1996_2020,-0.9921,0.1818,446,1996_2010,-1.9857,0.394,-0.9936,False,False,False,False,False,True,False,2003,2019,24,2003,2018,23,2003,2019,24,2003,2016,21,2003,2016,21,2002,2013,18,2002,2017,22
77,usa_NC_0035_0069,usa_NC_0035_0069,forward,1996_2020,-1.3452,0.221,469,1996_2010,-3.1254,0.4291,-1.7802,False,False,False,False,False,False,False,2016,2019,24,2016,2019,24,2016,2019,24,2015,2015,20,2015,2015,20,2014,2014,19,2015,2015,20
90,usa_NC_0037_0002,usa_NC_0037_0002,forward,1996_2020,0.8554,0.1856,451,1996_2010,-0.4111,0.3578,-1.2665,False,False,False,False,False,False,False,2002,2018,23,2002,2018,23,2002,2018,23,2002,2014,19,2002,2014,19,2001,2013,18,2000,2014,19
