domain_number,window_domains,window_km,projected_change_m,observed_m,observed_minus_projected_m
1,0,,39.807,124.745,84.938
2,0,,35.379,69.444,34.065
3,0,,34.492,53.065,18.573
4,0,,26.871,40.245,13.374
5,0,,11.488,21.084,9.596
6,0,,-19.434,-22.725,-3.291
7,0,,-18.394,-17.734,0.66
8,0,,-4.53,-7.939,-3.409
9,0,,1.92,8.16,6.24
10,0,,10.0,28.552,18.552
11,0,,11.081,37.623,26.542
12,0,,8.637,29.175,20.538
13,0,,7.896,22.78,14.884
14,0,,14.797,42.683,27.886
15,0,,17.532,54.639,37.107
16,0,,14.467,38.103,23.636
17,0,,18.306,38.928,20.622
18,0,,23.489,42.598,19.109
19,0,,25.668,45.558,19.89
20,0,,16.761,37.628,20.867
21,0,,-0.603,13.754,14.357
22,0,,-11.798,-10.768,1.03
23,0,,-26.084,-17.18,8.904
24,0,,-31.818,7.888,39.706
25,0,,-34.677,6.803,41.48
26,0,,-21.655,6.511,28.166
27,0,,0.095,-21.431,-21.526
28,0,,26.632,2.686,-23.946
29,0,,40.896,42.33,1.434
30,0,,44.423,59.835,15.412
31,0,,36.327,45.363,9.036
32,0,,20.725,24.843,4.118
33,0,,18.949,11.245,-7.704
34,0,,25.42,30.618,5.198
35,0,,8.398,39.303,30.905
36,0,,0.083,30.925,30.842
37,0,,-1.689,12.275,13.964
38,0,,1.803,-0.86,-2.663
39,0,,2.867,3.559,0.692
40,0,,4.678,2.553,-2.125
41,0,,8.554,-1.563,-10.117
42,0,,5.497,-0.703,-6.2
43,0,,2.661,11.768,9.107
44,0,,0.854,6.778,5.924
45,0,,-7.053,-1.812,5.241
46,0,,-15.31,-20.936,-5.626
47,0,,-14.395,-6.517,7.878
48,0,,-5.612,0.626,6.238
49,0,,-4.097,-8.702,-4.605
50,0,,-8.279,-15.222,-6.943
51,0,,-9.282,-20.728,-11.446
52,0,,-12.544,-40.04,-27.496
53,0,,-13.814,-19.615,-5.801
54,0,,-11.94,-14.32,-2.38
55,0,,-6.285,-12.313,-6.028
56,0,,-2.875,-9.375,-6.5
57,0,,-0.06,3.888,3.948
58,0,,4.395,4.452,0.057
59,0,,3.458,-1.402,-4.86
60,0,,-7.862,-1.941,5.921
61,0,,-18.182,-7.06,11.122
62,0,,-21.638,-24.804,-3.166
63,0,,-11.428,20.871,32.299
64,0,,-2.249,30.488,32.737
65,0,,6.688,39.804,33.116
66,0,,29.986,66.931,36.945
67,0,,38.795,58.739,19.944
68,0,,31.682,19.216,-12.466
69,0,,21.408,13.777,-7.631
70,0,,11.79,23.989,12.199
71,0,,9.624,5.364,-4.26
72,0,,14.256,16.785,2.529
73,0,,14.788,18.068,3.28
74,0,,5.457,-16.789,-22.246
75,0,,-13.12,-9.112,4.008
76,0,,-27.362,-15.807,11.555
77,0,,-24.27,-16.896,7.374
78,0,,-27.102,-33.19,-6.088
79,0,,-22.681,-14.049,8.632
80,0,,-35.225,-8.184,27.041
81,0,,-26.358,-13.697,12.661
82,0,,-20.849,-36.702,-15.853
83,0,,-29.763,-18.038,11.725
84,0,,-22.218,1.199,23.417
85,0,,-14.539,2.551,17.09
86,0,,-7.611,7.181,14.792
87,0,,0.445,15.911,15.466
88,0,,14.057,17.897,3.84
89,0,,16.552,25.283,8.731
90,0,,16.719,29.17,12.451
1,3,1.5,39.807,124.745,84.938
2,3,1.5,35.379,69.444,34.066
3,3,1.5,34.492,53.065,18.574
4,3,1.5,26.871,40.245,13.374
5,3,1.5,11.488,21.084,9.596
6,3,1.5,-19.434,-22.725,-3.291
7,3,1.5,-18.394,-17.734,0.659
8,3,1.5,-4.53,-7.939,-3.409
9,3,1.5,1.92,8.16,6.24
10,3,1.5,10.0,28.552,18.552
11,3,1.5,10.119,32.906,22.786
12,3,1.5,9.127,29.735,20.608
13,3,1.5,9.372,27.992,18.62
14,3,1.5,13.914,41.048,27.134
15,3,1.5,16.441,48.546,32.105
16,3,1.5,15.777,41.599,25.822
17,3,1.5,18.513,39.432,20.919
18,3,1.5,22.994,42.46,19.466
19,3,1.5,22.827,42.819,19.992
20,3,1.5,13.583,34.686,21.103
21,3,1.5,0.859,14.215,13.357
22,3,1.5,-11.053,-7.081,3.972
23,3,1.5,-23.354,-9.566,13.788
24,3,1.5,-31.091,2.069,33.16
25,3,1.5,-30.498,6.854,37.352
26,3,1.5,-18.398,-0.166,18.232
27,3,1.5,1.094,-7.341,-8.435
28,3,1.5,20.873,10.812,-10.061
29,3,1.5,37.142,40.436,3.294
