year,domain,profile,dune_crest_cell,interior_row0_cell,road_seaward_cell,road_landward_cell,road_center_cell,setback_m,road_width_m,n_road_cells,n_wet_road_cells
1984,9,0,4,5,9,11,10.0,40.0,30.0,3,0
1984,9,1,4,5,9,10,9.5,40.0,20.0,2,0
1984,9,2,4,5,9,10,9.5,40.0,20.0,2,0
1984,9,3,3,4,8,10,9.0,40.0,30.0,3,0
1984,9,4,3,4,8,10,9.0,40.0,30.0,3,0
1984,9,5,4,5,8,10,9.0,30.0,30.0,3,0
1984,9,6,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,7,5,6,9,10,9.5,30.0,20.0,2,0
1984,9,8,5,6,9,10,9.5,30.0,20.0,2,0
1984,9,9,5,6,9,10,9.5,30.0,20.0,2,0
1984,9,10,5,6,8,10,9.0,20.0,30.0,3,0
1984,9,11,5,6,8,10,9.0,20.0,30.0,3,0
1984,9,12,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,13,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,14,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,15,5,6,9,10,9.5,30.0,20.0,2,0
1984,9,16,5,6,8,10,9.0,20.0,30.0,3,0
1984,9,17,4,5,8,10,9.0,30.0,30.0,3,0
1984,9,18,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,19,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,20,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,21,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,22,4,5,7,9,8.0,20.0,30.0,3,0
1984,9,23,5,6,8,10,9.0,20.0,30.0,3,0
1984,9,24,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,25,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,26,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,27,4,5,8,9,8.5,30.0,20.0,2,0
1984,9,28,4,5,7,9,8.0,20.0,30.0,3,0
1984,9,29,4,5,7,9,8.0,20.0,30.0,3,0
1984,9,30,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,31,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,32,5,6,8,9,8.5,20.0,20.0,2,0
1984,9,33,4,5,7,9,8.0,20.0,30.0,3,0
1984,9,34,4,5,7,9,8.0,20.0,30.0,3,0
1984,9,35,4,5,7,8,7.5,20.0,20.0,2,0
1984,9,36,4,5,7,8,7.5,20.0,20.0,2,0
1984,9,37,4,5,7,8,7.5,20.0,20.0,2,0
1984,9,38,5,6,7,9,8.0,10.0,30.0,3,0
1984,9,39,5,6,7,9,8.0,10.0,30.0,3,0
1984,9,40,5,6,7,9,8.0,10.0,30.0,3,0
1984,9,41,5,6,7,8,7.5,10.0,20.0,2,0
1984,9,42,5,6,7,8,7.5,10.0,20.0,2,0
1984,9,43,4,5,7,8,7.5,20.0,20.0,2,0
1984,9,44,4,5,6,8,7.0,10.0,30.0,3,0
1984,9,45,4,5,6,8,7.0,10.0,30.0,3,0
1984,9,46,5,6,7,8,7.5,10.0,20.0,2,0
1984,9,47,5,6,7,8,7.5,10.0,20.0,2,0
1984,9,48,5,6,7,8,7.5,10.0,20.0,2,0
1984,9,49,5,6,7,8,7.5,10.0,20.0,2,0
1984,10,0,8,9,7,8,7.5,-20.0,20.0,2,0
1984,10,1,8,9,6,8,7.0,-30.0,30.0,3,0
1984,10,2,9,10,7,9,8.0,-30.0,30.0,3,0
1984,10,3,9,10,7,8,7.5,-30.0,20.0,2,0
