year,domain,section,setback_2009_m,setback_2009_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
1984,11,Buxton-Avon,-70.0,0.0,0.0,no,0.0,50,-70.0,-60.0,-80.0,-50.0,-60.0,20.0,1.785,1.697,0.801,2.145,121,0.008,8.54,7,0,"[4,8]","NEGATIVE(-70->floored 0),SCATTER_ELEV(0.80)",52.0,122.0
1984,12,Buxton-Avon,-50.0,0.0,0.0,no,0.0,50,-60.0,-40.0,-70.0,-30.0,-42.5,20.0,2.148,2.173,0.455,2.508,117,0.0,10.37,9,0,"[5,8]",NEGATIVE(-50->floored 0),54.0,104.0
1984,13,Buxton-Avon,-10.0,0.0,0.0,no,0.0,50,-41.0,10.0,-50.0,20.0,-2.5,20.0,2.325,2.403,0.665,2.685,115,0.0,11.49,10,0,"[5,9]","NEGATIVE(-10->floored 0),SCATTER_SETBACK(51m),SCATTER_ELEV(0.67)",77.0,87.0
1984,14,Buxton-Avon,20.0,20.0,20.0,no,0.0,50,19.0,40.0,10.0,50.0,30.0,20.0,1.616,1.652,0.369,1.976,118,0.0,13.0,11,0,"[5,10]",,89.0,69.0
1984,15,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,40.0,60.0,30.0,70.0,55.0,20.0,1.565,1.581,0.247,1.925,120,0.0,11.82,10,0,"[7,11]",,65.0,15.0
1984,16,Buxton-Avon,75.0,75.0,75.0,no,0.0,50,60.0,90.0,60.0,90.0,82.5,20.0,0.883,0.935,0.214,1.243,117,0.0,11.36,10,0,"[8,10]",,46.0,-29.0
1984,17,Buxton-Avon,90.0,90.0,90.0,no,0.0,50,80.0,100.0,80.0,100.0,95.0,20.0,0.756,0.772,0.119,1.116,117,0.0,10.71,9,0,"[8,12]",,141.0,51.0
1984,18,Buxton-Avon,120.0,120.0,120.0,no,0.0,50,110.0,130.0,100.0,130.0,125.0,20.0,0.82,0.794,0.155,1.18,116,0.0,8.66,7,0,"[8,12]",,156.0,36.0
1984,19,Buxton-Avon,130.0,130.0,130.0,no,0.0,50,109.0,140.0,90.0,140.0,135.0,20.0,0.818,0.789,0.191,1.178,123,0.0,7.08,6,0,"[7,11]",,138.0,8.0
1984,20,Buxton-Avon,80.0,80.0,80.0,no,0.0,50,70.0,90.0,60.0,90.0,85.0,20.0,0.965,0.937,0.189,1.325,121,0.0,12.39,11,0,"[6,10]",,96.0,16.0
