run_name,Hs_m,arm,timestamp,start_year,end_year,source_sink_preset,be_nonzero_domains,be_values_digest,be_rate_gis1_m_yr,be_rate_gis90_m_yr,scenario,scenario_overridden,groin_enabled,groin_trapping_m_yr,roadway_management,relocations_enabled,beach_dune_management,nourishment_fills,bdm_domains,nourishment_projects,rslr_m_yr,annual_states,run_complete,mean_bias_m_yr,rmse_m_yr,mean_bias_interior_m_yr,rmse_interior_m_yr,nourishment_ok,roads_drowned,roads_reloc_blocked,groin_extent_updrift_m,groin_extent_downdrift_m,runtime_min,use_sandbox_cascade,topo_product,topo_dune_version,git_commit,git_dirty,rate_estimator,lrr_r2_median,lrr_r2_below_floor,endpoint_mean_bias_interior_m_yr,endpoint_rmse_interior_m_yr,sandbags_on,groin_deterioration_f
HAT_1984_2004_calibBE_noroad_bdm_groin,2.5,calibration,2026-09-01 02:23:12,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,beachdune_only,False,True,60.0,False,False,True,True,29,0,0.004,21,True,-0.2020848175021897,0.5725503520338904,-0.1907023773669454,0.5689357109163966,True,0,0,6500.0,2500.0,1.6,True,1984-start,v1,317edc4af21e,True,lrr,0.92892904458552,14,-0.1467153211081386,0.506823700796059,False,0.6
HAT_1984_2004_calibBE_noroad_bdm_nogroin,2.5,calibration,2026-09-01 00:57:38,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,beachdune_only,False,False,,False,False,True,True,29,0,0.004,21,True,-0.1907752271045323,0.5633634019242937,-0.1854202796685662,0.562869455563871,True,0,0,,,1.5,True,1984-start,v1,317edc4af21e,True,lrr,0.9320772217486216,14,-0.1427558561706069,0.504021632860361,False,
HAT_1984_2004_calibBE_noroad_nobdm_groin,2.5,calibration,2026-09-01 02:17:06,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,natural,False,True,60.0,False,False,False,False,0,0,0.004,21,True,-0.3379018110842925,0.6535954905907271,-0.3283633733649198,0.650464897031315,True,0,0,6000.0,2500.0,1.5,True,1984-start,v1,317edc4af21e,True,lrr,0.9310614433752462,23,-0.254697578465964,0.5634739769258144,False,0.6
HAT_1984_2004_calibBE_noroad_nobdm_nogroin,2.5,calibration,2026-09-01 00:51:52,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,natural,False,False,,False,False,False,False,0,0,0.004,21,True,-0.3279590462252749,0.6474250956413012,-0.324406214296231,0.6470390380492554,True,0,0,,,1.4,True,1984-start,v1,317edc4af21e,True,lrr,0.9346875511413348,23,-0.2512279765979134,0.5625903647661059,False,
HAT_1984_2004_calibBE_road_bdm_groin,2.5,calibration,2026-09-01 02:25:05,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.0188714375071277,0.541128562452238,0.0296057189136129,0.5426590821985895,True,0,0,5500.0,2500.0,1.3,True,1984-start,v1,317edc4af21e,True,lrr,0.9354234066611922,14,0.0335797320243205,0.4894887870189898,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs0p75,0.75,sensitivity,2026-09-01 16:43:11,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,-0.2421218858222326,2.923464648290419,-0.2066621050059023,2.7683439859562315,True,0,0,,,1.3,True,1984-start,v1,317edc4af21e,True,lrr,0.9779421949952088,4,-0.1959675063801399,2.779770102194231,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs0p8,0.8,sensitivity,2026-09-01 16:44:38,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,-0.1057664187291457,2.2973869823458046,-0.0694778034240727,2.1071308045596555,True,0,0,,,1.2,True,1984-start,v1,317edc4af21e,True,lrr,0.9809361170274652,4,-0.0392014339846435,2.038393158819278,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs1,1.0,sensitivity,2026-09-01 16:46:08,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.1183300429858981,1.4040673192165505,0.1488816243724988,1.202694530053371,True,0,0,,,1.2,True,1984-start,v1,317edc4af21e,True,lrr,0.9765140855862542,3,0.1761733416065476,1.1835569220480624,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs1p2,1.2,sensitivity,2026-09-01 16:47:40,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.1649165165155188,1.129848019595592,0.1910858967217402,0.963364749043617,True,0,0,,,1.3,True,1984-start,v1,317edc4af21e,True,lrr,0.9709012363822888,3,0.2096875611292918,0.9718779326332332,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs1p5,1.5,sensitivity,2026-09-01 16:49:20,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.1642108430726029,0.8675586736120466,0.183922148934209,0.7605925765693657,True,0,0,,,1.4,True,1984-start,v1,317edc4af21e,True,lrr,0.960823754254556,5,0.197903813723326,0.7815629546488341,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs1p8,1.8,sensitivity,2026-09-01 13:33:36,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.1201639429924619,0.7249279761716562,0.1373453950335476,0.6645872899725127,True,0,0,,,1.2,True,1984-start,v1,317edc4af21e,True,lrr,0.9471755638990986,11,0.1494911117178526,0.6614289781460134,False,0.6
HAT_1984_2004_calibBE_road_bdm_groin_waveHs2,2.0,sensitivity,2026-09-01 13:35:11,1984,2004,calibBE,48,7784350673d3,-42.6,32.8,full_management,False,True,60.0,True,False,True,True,29,0,0.004,21,True,0.0905916218574778,0.6425898345321783,0.1054967960224553,0.6066485725390601,True,0,0,,,1.3,True,1984-start,v1,317edc4af21e,True,lrr,0.9423660980404932,10,0.1152752679797184,0.5934348255353498,False,0.6
