year,domain,section,setback_dunestart_m,setback_dunestart_floored_m,setback_model_m,drowns_at_init,relocated_seaward_m,n_road_profiles,setback_p10_m,setback_p90_m,setback_min_m,setback_max_m,setback_center_m,measured_road_width_m,road_elev_mhw_median,road_elev_mhw_mean,road_elev_std_m,road_elev_navd_median,n_road_cells,water_frac,obliquity_deg,shear_max_cells,lead_trim_rows,window,flags,setback_legacy_m,delta_vs_legacy_m
1984,1,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,4.83,4,0,"[10,18]",NO_ROAD,nan,nan
1984,2,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,8.35,7,0,"[8,13]",NO_ROAD,nan,nan
1984,3,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,11.85,10,0,"[18,26]",NO_ROAD,nan,nan
1984,4,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,12.72,11,0,"[32,40]",NO_ROAD,nan,nan
1984,5,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,20.51,18,0,"[30,38]",NO_ROAD,nan,nan
1984,6,Cape Point,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,21.11,19,0,"[15,23]",NO_ROAD,nan,nan
1984,7,Buxton,nan,0.0,nan,,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,5.05,4,0,"[17,25]",NO_ROAD,nan,nan
1984,8,Buxton,110.0,110.0,nan,,0.0,25,60.0,220.0,30.0,320.0,530.0,750.0,1.256,1.447,0.703,1.616,276,0.0,5.7,5,0,"[21,28]","SCATTER_SETBACK(160m),SCATTER_ELEV(0.70),WIDTH(750m),EXCLUDED_FROM_SPAN",nan,nan
1984,9,Buxton-Avon,40.0,40.0,40.0,no,0.0,50,30.0,50.0,20.0,60.0,45.0,20.0,1.456,1.478,0.194,1.816,119,0.0,7.13,6,0,"[19,23]",,47.0,7.0
1984,10,Buxton-Avon,30.0,30.0,30.0,no,0.0,50,30.0,40.0,30.0,40.0,40.0,20.0,1.7,1.818,0.48,2.06,121,0.0,9.35,8,0,"[17,22]",,39.0,9.0
1984,11,Buxton-Avon,30.0,30.0,30.0,no,0.0,50,20.0,31.0,10.0,40.0,35.0,20.0,1.735,1.908,0.574,2.095,121,0.0,10.36,9,0,"[12,16]",SCATTER_ELEV(0.57),52.0,22.0
1984,12,Buxton-Avon,40.0,40.0,40.0,no,0.0,50,30.0,50.0,30.0,50.0,45.0,20.0,1.898,2.078,0.441,2.258,117,0.0,8.46,7,0,"[13,17]",,54.0,14.0
1984,13,Buxton-Avon,40.0,40.0,40.0,no,0.0,50,30.0,50.0,30.0,60.0,45.0,20.0,1.762,1.888,0.287,2.122,115,0.0,8.59,7,0,"[16,23]",,77.0,37.0
1984,14,Buxton-Avon,60.0,60.0,60.0,no,0.0,50,50.0,60.0,50.0,70.0,65.0,20.0,1.757,1.837,0.261,2.117,118,0.0,11.41,10,0,"[20,26]",,89.0,29.0
1984,15,Buxton-Avon,60.0,60.0,60.0,no,0.0,50,60.0,70.0,50.0,70.0,70.0,20.0,1.806,1.888,0.265,2.166,120,0.0,11.48,10,0,"[18,23]",,65.0,5.0
1984,16,Buxton-Avon,50.0,50.0,50.0,no,0.0,50,40.0,70.0,30.0,80.0,57.5,20.0,1.219,1.256,0.204,1.579,117,0.0,11.76,10,0,"[20,25]",,46.0,-4.0
1984,17,Buxton-Avon,90.0,90.0,90.0,no,0.0,50,80.0,110.0,70.0,110.0,100.0,20.0,1.094,1.105,0.141,1.454,117,0.0,9.22,8,0,"[23,27]",,141.0,51.0
1984,18,Buxton-Avon,120.0,120.0,120.0,no,0.0,50,110.0,130.0,110.0,130.0,125.0,20.0,1.155,1.161,0.193,1.515,116,0.0,8.66,7,0,"[19,22]",,156.0,36.0
1984,19,Buxton-Avon,130.0,130.0,130.0,no,0.0,50,100.0,140.0,90.0,140.0,135.0,20.0,1.151,1.152,0.184,1.511,123,0.0,7.32,6,0,"[20,25]",,138.0,8.0
