gis_domain,change_rate_m_yr
1,-2.5438050088176167
2,-2.5936232294398907
3,-2.2350280547297188
4,-1.908806584872218
5,-2.030957763090373
6,-2.397409405409417
7,-2.0771002255612077
8,-1.6125973257435362
9,-1.310400749017481
10,-1.1145237869447555
11,-1.0340954825252993
12,-0.8234166123079376
13,-0.6766199367855734
14,-0.4946387133916687
15,-0.2440929309841522
16,-0.07240726409800118
17,-0.2542492267704802
18,-0.2499724527111539
19,-0.10374989449201166
20,-0.05247084150551018
21,-0.12124960060627928
22,-0.23681896691741713
23,-0.3428321097108892
24,-0.49009468308631765
25,-0.4822685957759859
26,-0.44470663834772495
27,-0.3166926148291168
28,-0.3359177915614964
29,-0.3361384592917602
30,-0.3100592419137683
31,-0.3848081614812145
32,-0.5070846349793101
33,-0.7221195274164529
34,-1.0029914047669082
35,-1.1542973179869478
36,-1.3620827584970356
37,-1.530258826577119
38,-1.50449828219771
39,-1.4137868677483312
40,-1.2361266820391392
41,-1.0166612244664066
42,-0.8137744911629852
43,-0.6417809507226593
44,-0.5776928123616016
45,-0.4401313909118471
46,-0.32675063348060573
47,-0.25408055110947314
48,-0.1552910636009983
49,-0.0663817962074063
50,-0.017682570906708862
51,0.06500116653623991
52,0.15775753716188773
53,0.2570864367753529
54,0.22372406787999352
55,0.2997298552118991
56,0.3841605022519616
57,0.2971170421077659
58,0.20833396399957566
59,0.20790014170925133
60,0.04949497888255792
61,-0.011304318895327015
62,-0.15656048593446031
63,-0.20927109046433542
64,-0.2137638388535379
65,-0.3084320378362463
66,-0.3969301422933313
67,-0.6448395937004534
68,-0.9877057096377939
69,-1.2981247253203037
70,-1.4624561898221144
71,-1.6576474617519126
72,-1.8589990147149364
73,-1.9794436751340982
74,-1.9707846499345578
75,-1.9573654657075168
76,-1.9979405567260984
77,-2.1031359183931273
78,-2.2953548138184487
79,-2.2454275562857218
80,-2.054061852936138
81,-1.790075260857884
82,-1.5587986651114079
83,-1.2665123579626196
84,-1.1445595820158814
85,-0.9943089033731667
86,-0.7537995572533873
87,-0.5579555720179996
88,-0.5153636243509027
89,-0.4418530463053685
90,-0.44939993415373464
